,autor,titulo,tema,year
116,Fernando  Messore,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
117,Jeronimo  Matassa  Patrone,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
118,Delia  Soriano,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
119,Florencia Conde,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
120,Laura Caltana,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
121,Dante Agustin Paz,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
122,Herminia Alicia Brusco,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
123,Alma Y. Galvez-Contreras1°,P30.-Phenytoin promotes the proliferation of neural precursor cells and oligodendrocyte differentiation ,Cellular and Molecular Neurobiology ,2015
124,Rocio E. Gonzalez-Castañeda1°,P30.-Phenytoin promotes the proliferation of neural precursor cells and oligodendrocyte differentiation ,Cellular and Molecular Neurobiology ,2015
125,Sonia Luquin de Anda1°,P30.-Phenytoin promotes the proliferation of neural precursor cells and oligodendrocyte differentiation ,Cellular and Molecular Neurobiology ,2015
126,Rodrigo Ramos-Zuñiga1°,P30.-Phenytoin promotes the proliferation of neural precursor cells and oligodendrocyte differentiation ,Cellular and Molecular Neurobiology ,2015
127,Oscar Gonzalez-Perez2°,P30.-Phenytoin promotes the proliferation of neural precursor cells and oligodendrocyte differentiation ,Cellular and Molecular Neurobiology ,2015
128,Micaela  D  Garcia1°,P31.-Characterization  of  Membrane  glycoprotein  M6a  endocytic-recycling  pathway  upon  treatment  with  the  neutralizing  monoclonal antibody ,Cellular and Molecular Neurobiology ,2015
129,Karina  Formoso1°,P31.-Characterization  of  Membrane  glycoprotein  M6a  endocytic-recycling  pathway  upon  treatment  with  the  neutralizing  monoclonal antibody ,Cellular and Molecular Neurobiology ,2015
130,Francisco  J  Barrantes2°,P31.-Characterization  of  Membrane  glycoprotein  M6a  endocytic-recycling  pathway  upon  treatment  with  the  neutralizing  monoclonal antibody ,Cellular and Molecular Neurobiology ,2015
131,Alberto  CC  Frasch1°,P31.-Characterization  of  Membrane  glycoprotein  M6a  endocytic-recycling  pathway  upon  treatment  with  the  neutralizing  monoclonal antibody ,Cellular and Molecular Neurobiology ,2015
132,Camila Scorticati1°,P31.-Characterization  of  Membrane  glycoprotein  M6a  endocytic-recycling  pathway  upon  treatment  with  the  neutralizing  monoclonal antibody ,Cellular and Molecular Neurobiology ,2015
133,Ezequiel Gimenez1°,P32.-Selective Oxidation of Alpha-Synuclein on Membrane Interphase ,Cellular and Molecular Neurobiology ,2015
134,Claudio D. Borsarelli2°,P32.-Selective Oxidation of Alpha-Synuclein on Membrane Interphase ,Cellular and Molecular Neurobiology ,2015
135,Thomas M. Jovin3°,P32.-Selective Oxidation of Alpha-Synuclein on Membrane Interphase ,Cellular and Molecular Neurobiology ,2015
136,Betina Córsico1°,P32.-Selective Oxidation of Alpha-Synuclein on Membrane Interphase ,Cellular and Molecular Neurobiology ,2015
137,Lisandro J. Falomir Lockhart1°,P32.-Selective Oxidation of Alpha-Synuclein on Membrane Interphase ,Cellular and Molecular Neurobiology ,2015
138,Laura Gómez Pinto,P33.-TGF-beta  and  Notch  pathway  in  cell  fate  decisions  of  adult  neural stem cells from the subventricular zone ,Cellular and Molecular Neurobiology ,2015
139,Ana Adamo,P33.-TGF-beta  and  Notch  pathway  in  cell  fate  decisions  of  adult  neural stem cells from the subventricular zone ,Cellular and Molecular Neurobiology ,2015
140,Patricia Mathieu,P33.-TGF-beta  and  Notch  pathway  in  cell  fate  decisions  of  adult  neural stem cells from the subventricular zone ,Cellular and Molecular Neurobiology ,2015
141,Laura Gómez Pinto,P34.-Notch remyelination ,Cellular and Molecular Neurobiology ,2015
142,Florencia Almeira Gubiani,P34.-Notch remyelination ,Cellular and Molecular Neurobiology ,2015
143,Patricia Mathieu,P34.-Notch remyelination ,Cellular and Molecular Neurobiology ,2015
144,Ana M Adamo,P34.-Notch remyelination ,Cellular and Molecular Neurobiology ,2015
145,Florencia  González  Lizarraga1°,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
146,Sergio  B.  Socías1°,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
147,César  L.  Ávila1°,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
148,Clarisa  M.  Torres-Bugeau1°,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
149,Leandro  R.  S.  Barbosa2°,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
150,Rosangela  Itri2°,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
151,Dulce  Papy-  Garcia4°,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
152,Rita  Raisman-,P35.-Doxycycline  modifies  α-synuclein  Aggregation  Pathway  Yielding  a Lacking Toxicity Novel Oligomeric Species ,Cellular and Molecular Neurobiology ,2015
153,María Eugenia Guitart,P36.-Oligodendrocyte  maturation  through  gestational  iron  deprivation: the road not taken ,Cellular and Molecular Neurobiology ,2015
154,María Victoria Rosato-Siri,P36.-Oligodendrocyte  maturation  through  gestational  iron  deprivation: the road not taken ,Cellular and Molecular Neurobiology ,2015
155,Juana María Pasquini,P36.-Oligodendrocyte  maturation  through  gestational  iron  deprivation: the road not taken ,Cellular and Molecular Neurobiology ,2015
156,Mariana Holubiec,P37.-Hypoxia-Ischemia Induces Retinal Damage ,Cellular and Molecular Neurobiology ,2015
157,Juan Ignacio Romero,P37.-Hypoxia-Ischemia Induces Retinal Damage ,Cellular and Molecular Neurobiology ,2015
158,Tamara Logica,P37.-Hypoxia-Ischemia Induces Retinal Damage ,Cellular and Molecular Neurobiology ,2015
159,Francisco Capani,P37.-Hypoxia-Ischemia Induces Retinal Damage ,Cellular and Molecular Neurobiology ,2015
160,Dolores  Irala,P38.-GDNF/GFRα1  complex  is  a  synaptic  organizer  required  for  proper hippocampal circuit development ,Cellular and Molecular Neurobiology ,2015
161,Antonela  Bonafina,P38.-GDNF/GFRα1  complex  is  a  synaptic  organizer  required  for  proper hippocampal circuit development ,Cellular and Molecular Neurobiology ,2015
162,Paula  Fontanet,P38.-GDNF/GFRα1  complex  is  a  synaptic  organizer  required  for  proper hippocampal circuit development ,Cellular and Molecular Neurobiology ,2015
163,Fernando  Alsina,P38.-GDNF/GFRα1  complex  is  a  synaptic  organizer  required  for  proper hippocampal circuit development ,Cellular and Molecular Neurobiology ,2015
164,Gustavo  Paratcha,P38.-GDNF/GFRα1  complex  is  a  synaptic  organizer  required  for  proper hippocampal circuit development ,Cellular and Molecular Neurobiology ,2015
165,Fernanda Ledda,P38.-GDNF/GFRα1  complex  is  a  synaptic  organizer  required  for  proper hippocampal circuit development ,Cellular and Molecular Neurobiology ,2015
166,Ignacio Jure1°,P39.-Brain responses after a distant chronic spinal cord injury ,Cellular and Molecular Neurobiology ,2015
167,Alejandro Federico De Nicola1°,P39.-Brain responses after a distant chronic spinal cord injury ,Cellular and Molecular Neurobiology ,2015
168,Florencia Labombarda1°,P39.-Brain responses after a distant chronic spinal cord injury ,Cellular and Molecular Neurobiology ,2015
169,Noelia Lino1°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
170,Mariana Casalia1°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
171,Juan Cruz Casabona1°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
172,Verónica Cavaliere Candedo1°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
173,Isabel Farias1°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
174,Joaquín  González1°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
175,Valeria  Roca1°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
176,Marcelo  Kauffman2°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
177,Francisco  Urbano3°,P40.-Towards  Unmasking  the  Pathophysiology  of  Epilepsy  using  a  New Cellular Model based on Human iPSCs ,Cellular and Molecular Neurobiology ,2015
