,autor,titulo,tema,year
57, Delia Soriano 1°2°,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
58, Laura Caltana 1°2°,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
59, Catalina Madarnas 1°,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
60, Luciana Novak 1°,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
61," 
Viviana Sanchez 1°",P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
62," Alicia Brusco 1°2° 
1° Universidad de Buenos Aires",P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
63," Facultad de Medicina. 1ra Unidad Académica del Departamento de 
Biología Celular",P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
64, Histología,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
65, Embriología y Genética.  Buenos Aires,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
66, Argentina,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
67," 2° CONICET-Universidad de 
Buenos Aires. Instituto de Biología Celular y Neurociencia (IBCN). Buenos Aires. Argentina   
lauracaltana@gmail.com 
______________________________________________________________ ",P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
68,Adriana Carla Camarano,P14.-Expression and function of the transcription factor Isl1 in the mammalian hypothalamus,Cellular and Molecular Neurobiology,2017
69, Dominique Chaselon,P14.-Expression and function of the transcription factor Isl1 in the mammalian hypothalamus,Cellular and Molecular Neurobiology,2017
70, Marcelo Rubinstein,P14.-Expression and function of the transcription factor Isl1 in the mammalian hypothalamus,Cellular and Molecular Neurobiology,2017
71," Flávio Silva Junqueira de 
Souza ",P14.-Expression and function of the transcription factor Isl1 in the mammalian hypothalamus,Cellular and Molecular Neurobiology,2017
72,"
Camila Carignano",P15.-Analysis of cochlear outer hair cell degeneration in a mouse model of DFNA2 deafness,Cellular and Molecular Neurobiology,2017
73, Esteban Barila,P15.-Analysis of cochlear outer hair cell degeneration in a mouse model of DFNA2 deafness,Cellular and Molecular Neurobiology,2017
74, Ezequiel Rias,P15.-Analysis of cochlear outer hair cell degeneration in a mouse model of DFNA2 deafness,Cellular and Molecular Neurobiology,2017
75, Guillermo Spitzmaul ,P15.-Analysis of cochlear outer hair cell degeneration in a mouse model of DFNA2 deafness,Cellular and Molecular Neurobiology,2017
76,Tais Castagnola 1°,P16.-ANALYSIS OF THE EXPRESSION PATTERNS OF ZEBRAFISH NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS AT THE EFFERENT-LATERAL LINE SYNAPSE,Cellular and Molecular Neurobiology,2017
77, Sabina Domene 3°,P16.-ANALYSIS OF THE EXPRESSION PATTERNS OF ZEBRAFISH NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS AT THE EFFERENT-LATERAL LINE SYNAPSE,Cellular and Molecular Neurobiology,2017
78, Agustin Carpaneto 1°,P16.-ANALYSIS OF THE EXPRESSION PATTERNS OF ZEBRAFISH NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS AT THE EFFERENT-LATERAL LINE SYNAPSE,Cellular and Molecular Neurobiology,2017
79, Lucia Salatino 1°,P16.-ANALYSIS OF THE EXPRESSION PATTERNS OF ZEBRAFISH NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS AT THE EFFERENT-LATERAL LINE SYNAPSE,Cellular and Molecular Neurobiology,2017
80," Viviana Dalamon 
1°",P16.-ANALYSIS OF THE EXPRESSION PATTERNS OF ZEBRAFISH NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS AT THE EFFERENT-LATERAL LINE SYNAPSE,Cellular and Molecular Neurobiology,2017
81, Ana Belen Elgoyhen 1°2°,P16.-ANALYSIS OF THE EXPRESSION PATTERNS OF ZEBRAFISH NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS AT THE EFFERENT-LATERAL LINE SYNAPSE,Cellular and Molecular Neurobiology,2017
82, Paola Plazas 1°2°,P16.-ANALYSIS OF THE EXPRESSION PATTERNS OF ZEBRAFISH NICOTINIC ACETYLCHOLINE RECEPTOR SUBUNITS AT THE EFFERENT-LATERAL LINE SYNAPSE,Cellular and Molecular Neurobiology,2017
83,"
Ana Belén de Landeta 1°",P17.-Biochemical evidence for altered protein levels of plasticity-related genes in inducible TDP-43- !NLS transgenic mice,Cellular and Molecular Neurobiology,2017
84, Julio Alfieri 2°,P17.-Biochemical evidence for altered protein levels of plasticity-related genes in inducible TDP-43- !NLS transgenic mice,Cellular and Molecular Neurobiology,2017
85, Cynthia Katche 1°,P17.-Biochemical evidence for altered protein levels of plasticity-related genes in inducible TDP-43- !NLS transgenic mice,Cellular and Molecular Neurobiology,2017
86, Lionel Muller Igaz 2° ,P17.-Biochemical evidence for altered protein levels of plasticity-related genes in inducible TDP-43- !NLS transgenic mice,Cellular and Molecular Neurobiology,2017
87,"
Ana Paula De Vincenti",P18.-Lrig2 promotes the development of hippocampal dendritic arbors and spines,Cellular and Molecular Neurobiology,2017
88, Fernando Cruz Alsina,P18.-Lrig2 promotes the development of hippocampal dendritic arbors and spines,Cellular and Molecular Neurobiology,2017
89, Fernanda Ledda,P18.-Lrig2 promotes the development of hippocampal dendritic arbors and spines,Cellular and Molecular Neurobiology,2017
90, Gustavo Paratcha ,P18.-Lrig2 promotes the development of hippocampal dendritic arbors and spines,Cellular and Molecular Neurobiology,2017
91,Maria Laura Esquivel 1°,P19.-Protein acetylation and synaptic composition during Inhibitory Avoidance Long-Term memory consolidation in mouse hippocampus.,Cellular and Molecular Neurobiology,2017
92, Angeles Salles 1°,P19.-Protein acetylation and synaptic composition during Inhibitory Avoidance Long-Term memory consolidation in mouse hippocampus.,Cellular and Molecular Neurobiology,2017
93, Julia Busso 1°,P19.-Protein acetylation and synaptic composition during Inhibitory Avoidance Long-Term memory consolidation in mouse hippocampus.,Cellular and Molecular Neurobiology,2017
94, Maria Krawczyk 2°,P19.-Protein acetylation and synaptic composition during Inhibitory Avoidance Long-Term memory consolidation in mouse hippocampus.,Cellular and Molecular Neurobiology,2017
95, Mariano Boccia 2°,P19.-Protein acetylation and synaptic composition during Inhibitory Avoidance Long-Term memory consolidation in mouse hippocampus.,Cellular and Molecular Neurobiology,2017
96," 
Mariano Boccia 1°",P19.-Protein acetylation and synaptic composition during Inhibitory Avoidance Long-Term memory consolidation in mouse hippocampus.,Cellular and Molecular Neurobiology,2017
97, Ramiro Freudenthal 1°,P19.-Protein acetylation and synaptic composition during Inhibitory Avoidance Long-Term memory consolidation in mouse hippocampus.,Cellular and Molecular Neurobiology,2017
98,María Carolina Fabio 2°,P20.-Inmunological and behavioral modulation of Diazepam in a chronic model of Experimental autoimmune encephalomyelitis,Cellular and Molecular Neurobiology,2017
99, María Inés Zalosnik 2°,P20.-Inmunological and behavioral modulation of Diazepam in a chronic model of Experimental autoimmune encephalomyelitis,Cellular and Molecular Neurobiology,2017
100, Alicia Laura Degano 2°,P20.-Inmunological and behavioral modulation of Diazepam in a chronic model of Experimental autoimmune encephalomyelitis,Cellular and Molecular Neurobiology,2017
101, Germán Alfredo Roth 1°,P20.-Inmunological and behavioral modulation of Diazepam in a chronic model of Experimental autoimmune encephalomyelitis,Cellular and Molecular Neurobiology,2017
102,Macarena Soledad Fernandez 1°,P21.-Short-term selection for high and low ethanol intake yields differential baseline and ethanol-induced Fos immunoreactivity in the adolescent Wistar rat brain,Cellular and Molecular Neurobiology,2017
103, Soledad De Olmos 1°,P21.-Short-term selection for high and low ethanol intake yields differential baseline and ethanol-induced Fos immunoreactivity in the adolescent Wistar rat brain,Cellular and Molecular Neurobiology,2017
104, Ana Ferreyra 1°2°,P21.-Short-term selection for high and low ethanol intake yields differential baseline and ethanol-induced Fos immunoreactivity in the adolescent Wistar rat brain,Cellular and Molecular Neurobiology,2017
105, Florencia Chiner 2°,P21.-Short-term selection for high and low ethanol intake yields differential baseline and ethanol-induced Fos immunoreactivity in the adolescent Wistar rat brain,Cellular and Molecular Neurobiology,2017
106," 
Ricardo Marcos Pautassi 1°2° ",P21.-Short-term selection for high and low ethanol intake yields differential baseline and ethanol-induced Fos immunoreactivity in the adolescent Wistar rat brain,Cellular and Molecular Neurobiology,2017
107,"
Facundo Nahuel Ferrero","P22.-Tetraspanins as promoters of TrkA receptor tyrosine kinase activation, downstream signaling and biological responses to NGF",Cellular and Molecular Neurobiology,2017
108, Paula Aldana Fontanet,"P22.-Tetraspanins as promoters of TrkA receptor tyrosine kinase activation, downstream signaling and biological responses to NGF",Cellular and Molecular Neurobiology,2017
109, Fernanda Ledda,"P22.-Tetraspanins as promoters of TrkA receptor tyrosine kinase activation, downstream signaling and biological responses to NGF",Cellular and Molecular Neurobiology,2017
110, Gustavo Paratcha ,"P22.-Tetraspanins as promoters of TrkA receptor tyrosine kinase activation, downstream signaling and biological responses to NGF",Cellular and Molecular Neurobiology,2017
111,Micaela Daiana Garcia 1°,P23.-The membrane glycoprotein M6a endocytic/recycling pathway involves clathrin-mediated endocytosis and affects neuronal synapses,Cellular and Molecular Neurobiology,2017
112, Karina Formoso 2°,P23.-The membrane glycoprotein M6a endocytic/recycling pathway involves clathrin-mediated endocytosis and affects neuronal synapses,Cellular and Molecular Neurobiology,2017
113, Gabriela Inés Aparicio 1°,P23.-The membrane glycoprotein M6a endocytic/recycling pathway involves clathrin-mediated endocytosis and affects neuronal synapses,Cellular and Molecular Neurobiology,2017
114, Alberto C. C. Frasch 1°,P23.-The membrane glycoprotein M6a endocytic/recycling pathway involves clathrin-mediated endocytosis and affects neuronal synapses,Cellular and Molecular Neurobiology,2017
115," 
Camila Scorticati 1°",P23.-The membrane glycoprotein M6a endocytic/recycling pathway involves clathrin-mediated endocytosis and affects neuronal synapses,Cellular and Molecular Neurobiology,2017
116,Octavio Gianatiempo 1°,P24.-Altered gene expression in the hippocampus of young adult female mice by early protein malnutrition,Cellular and Molecular Neurobiology,2017
117, Carolina Alberca 2°,P24.-Altered gene expression in the hippocampus of young adult female mice by early protein malnutrition,Cellular and Molecular Neurobiology,2017
118, Mariela Chertoff 1°,P24.-Altered gene expression in the hippocampus of young adult female mice by early protein malnutrition,Cellular and Molecular Neurobiology,2017
119, Nicolás Pregi 1°,P24.-Altered gene expression in the hippocampus of young adult female mice by early protein malnutrition,Cellular and Molecular Neurobiology,2017
120," Eduardo T. 
Cánepa 1°",P24.-Altered gene expression in the hippocampus of young adult female mice by early protein malnutrition,Cellular and Molecular Neurobiology,2017
121,"
Paula M. Wagner",P25.-CIRCADIAN CONTROL OF LIPID AND REDOX METABOLISMS IN PROLIFERATIVE GLIOBLASTOMA CANCER CELLS,Cellular and Molecular Neurobiology,2017
122, Lucas Sosa-Alderete,P25.-CIRCADIAN CONTROL OF LIPID AND REDOX METABOLISMS IN PROLIFERATIVE GLIOBLASTOMA CANCER CELLS,Cellular and Molecular Neurobiology,2017
123, Lucas Gorne,P25.-CIRCADIAN CONTROL OF LIPID AND REDOX METABOLISMS IN PROLIFERATIVE GLIOBLASTOMA CANCER CELLS,Cellular and Molecular Neurobiology,2017
124, Mario Eduardo GUIDO ,P25.-CIRCADIAN CONTROL OF LIPID AND REDOX METABOLISMS IN PROLIFERATIVE GLIOBLASTOMA CANCER CELLS,Cellular and Molecular Neurobiology,2017
125,"
Jeronimo Lukin",P26.-Regulation of gene expression by neuronal activity patterns,Cellular and Molecular Neurobiology,2017
126, Mora Ogando,P26.-Regulation of gene expression by neuronal activity patterns,Cellular and Molecular Neurobiology,2017
127, Giusti Sebastian,P26.-Regulation of gene expression by neuronal activity patterns,Cellular and Molecular Neurobiology,2017
128, Antonia Marin-Burgin,P26.-Regulation of gene expression by neuronal activity patterns,Cellular and Molecular Neurobiology,2017
129, Refojo Damian ,P26.-Regulation of gene expression by neuronal activity patterns,Cellular and Molecular Neurobiology,2017
130,"
Sebastian Luna",P27.-Neuronal maturation and synaptic function is affected by glyphosate exposure,Cellular and Molecular Neurobiology,2017
131, Silvana B Rosso ,P27.-Neuronal maturation and synaptic function is affected by glyphosate exposure,Cellular and Molecular Neurobiology,2017
132,"
Gaby F Martinez",P28.-Expansion Microscopy Allows for The Detection And Characterization of the Diffraction-limited Actin/Spectrin Membrane-associated Periodic Skeleton of Axons,Cellular and Molecular Neurobiology,2017
133, Gonzalo Quassollo,P28.-Expansion Microscopy Allows for The Detection And Characterization of the Diffraction-limited Actin/Spectrin Membrane-associated Periodic Skeleton of Axons,Cellular and Molecular Neurobiology,2017
134, Carlos Wilson,P28.-Expansion Microscopy Allows for The Detection And Characterization of the Diffraction-limited Actin/Spectrin Membrane-associated Periodic Skeleton of Axons,Cellular and Molecular Neurobiology,2017
135, Alfredo Cáceres,P28.-Expansion Microscopy Allows for The Detection And Characterization of the Diffraction-limited Actin/Spectrin Membrane-associated Periodic Skeleton of Axons,Cellular and Molecular Neurobiology,2017
136, Nicolás Unsain  ,P28.-Expansion Microscopy Allows for The Detection And Characterization of the Diffraction-limited Actin/Spectrin Membrane-associated Periodic Skeleton of Axons,Cellular and Molecular Neurobiology,2017
137,"
Clara Inés McCarthy",P29.-Co-expression of D1R increases GHSR1a constitutive inhibition of CaV2.2 calcium currents,Cellular and Molecular Neurobiology,2017
138, Santiago Cordisco Gonzalez,P29.-Co-expression of D1R increases GHSR1a constitutive inhibition of CaV2.2 calcium currents,Cellular and Molecular Neurobiology,2017
139, Silvia Susana Rodríguez,P29.-Co-expression of D1R increases GHSR1a constitutive inhibition of CaV2.2 calcium currents,Cellular and Molecular Neurobiology,2017
140, Jesica Raingo ,P29.-Co-expression of D1R increases GHSR1a constitutive inhibition of CaV2.2 calcium currents,Cellular and Molecular Neurobiology,2017
141,"
Lorena Paola Neila",P30.-Implications of Wnt/Fz signaling pathways on axonal development,Cellular and Molecular Neurobiology,2017
142, Maria Edith Ferrari,P30.-Implications of Wnt/Fz signaling pathways on axonal development,Cellular and Molecular Neurobiology,2017
143, Silvana B. Rosso ,P30.-Implications of Wnt/Fz signaling pathways on axonal development,Cellular and Molecular Neurobiology,2017
144,"
Gabriela Verónica Nieva",P31.-Early microgliosis in a conditional mouse model of TDP-43 proteinopathies.,Cellular and Molecular Neurobiology,2017
145, Pablo Roberto Silva,P31.-Early microgliosis in a conditional mouse model of TDP-43 proteinopathies.,Cellular and Molecular Neurobiology,2017
146, Lionel Muller Igaz ,P31.-Early microgliosis in a conditional mouse model of TDP-43 proteinopathies.,Cellular and Molecular Neurobiology,2017
147,Agustin Carpaneto Freixas 1°,P32.-MOLECULAR AND FUNCTIONAL CHARACTERIZATION OF THE NICOTINIC CHOLINERGIC RECEPTOR AT THE EFFERENT SYNAPSE OF ZEBRAFISH LATERAL LINE,Cellular and Molecular Neurobiology,2017
148, Carolina Wedemeyer 1°,P32.-MOLECULAR AND FUNCTIONAL CHARACTERIZATION OF THE NICOTINIC CHOLINERGIC RECEPTOR AT THE EFFERENT SYNAPSE OF ZEBRAFISH LATERAL LINE,Cellular and Molecular Neurobiology,2017
149, Paola Plazas 1°2°,P32.-MOLECULAR AND FUNCTIONAL CHARACTERIZATION OF THE NICOTINIC CHOLINERGIC RECEPTOR AT THE EFFERENT SYNAPSE OF ZEBRAFISH LATERAL LINE,Cellular and Molecular Neurobiology,2017
150, Ana Belen Elgoyhen 1°2°,P32.-MOLECULAR AND FUNCTIONAL CHARACTERIZATION OF THE NICOTINIC CHOLINERGIC RECEPTOR AT THE EFFERENT SYNAPSE OF ZEBRAFISH LATERAL LINE,Cellular and Molecular Neurobiology,2017
151,"
Calos Alfredo Pretell Annan",P33.-Mice presenting a schizophrenia-like phenotype show alterations in maturation of perineuronal nets.,Cellular and Molecular Neurobiology,2017
152, Juan E Belforte ,P33.-Mice presenting a schizophrenia-like phenotype show alterations in maturation of perineuronal nets.,Cellular and Molecular Neurobiology,2017
153,"IBCN (UBA-CONICET) 
antonella.srios@gmail.com 
______________________________________________________________ ",P34.-The transcription factor Etv5 in adult neurogenesis,Cellular and Molecular Neurobiology,2017
154,"
Maximiliano Nicolas Rios",P35.-Light-induction of the enzyme Aralkylamine N-acetyltransferase (AANAT) in the chicken inner retina and its potential physiological role,Cellular and Molecular Neurobiology,2017
155, Mario E. Guido ,P35.-Light-induction of the enzyme Aralkylamine N-acetyltransferase (AANAT) in the chicken inner retina and its potential physiological role,Cellular and Molecular Neurobiology,2017
156,"
Nicolás Matías Rosas","P36.-Charged amino acid residues K250, D253, K255, E258 and E259A within the C-terminal cytoplasmic tail of Gpm6a mediate its function in filopodium formation",Cellular and Molecular Neurobiology,2017
157, Anabel Alvarez Juliá,"P36.-Charged amino acid residues K250, D253, K255, E258 and E259A within the C-terminal cytoplasmic tail of Gpm6a mediate its function in filopodium formation",Cellular and Molecular Neurobiology,2017
158, Alberto Carlos Frasch,"P36.-Charged amino acid residues K250, D253, K255, E258 and E259A within the C-terminal cytoplasmic tail of Gpm6a mediate its function in filopodium formation",Cellular and Molecular Neurobiology,2017
159, Beata Fuchsova ,"P36.-Charged amino acid residues K250, D253, K255, E258 and E259A within the C-terminal cytoplasmic tail of Gpm6a mediate its function in filopodium formation",Cellular and Molecular Neurobiology,2017
160,"
Julieta Saba",P37.-Brain-derived neurotrophic factor (BDNF) prevents 3-nitropropionic acid-induced death in Huntington™s disease neuronal striatal cell model,Cellular and Molecular Neurobiology,2017
161, Juan Turati,P37.-Brain-derived neurotrophic factor (BDNF) prevents 3-nitropropionic acid-induced death in Huntington™s disease neuronal striatal cell model,Cellular and Molecular Neurobiology,2017
162, Delia Ramirez,P37.-Brain-derived neurotrophic factor (BDNF) prevents 3-nitropropionic acid-induced death in Huntington™s disease neuronal striatal cell model,Cellular and Molecular Neurobiology,2017
163, Lila Carniglia,P37.-Brain-derived neurotrophic factor (BDNF) prevents 3-nitropropionic acid-induced death in Huntington™s disease neuronal striatal cell model,Cellular and Molecular Neurobiology,2017
164, Daniela Durand,P37.-Brain-derived neurotrophic factor (BDNF) prevents 3-nitropropionic acid-induced death in Huntington™s disease neuronal striatal cell model,Cellular and Molecular Neurobiology,2017
165, Mercedes Lasaga,P37.-Brain-derived neurotrophic factor (BDNF) prevents 3-nitropropionic acid-induced death in Huntington™s disease neuronal striatal cell model,Cellular and Molecular Neurobiology,2017
166," 
Carla Caruso 
INBIOMED UBA - CONICET Fac. de Medicina  
juli_saba@hotmail.com 
______________________________________________________________ ",P37.-Brain-derived neurotrophic factor (BDNF) prevents 3-nitropropionic acid-induced death in Huntington™s disease neuronal striatal cell model,Cellular and Molecular Neurobiology,2017
167,IFIBIO Houssay,P38.-Regional and temporal assessment of neurodegeneration in inducible TDP-43-WT transgenic mice,Cellular and Molecular Neurobiology,2017
168, Grupo de Neurociencia de Sistemas,P38.-Regional and temporal assessment of neurodegeneration in inducible TDP-43-WT transgenic mice,Cellular and Molecular Neurobiology,2017
169, Facultad de Medicina,P38.-Regional and temporal assessment of neurodegeneration in inducible TDP-43-WT transgenic mice,Cellular and Molecular Neurobiology,2017
170," Universidad de Buenos Aires - 
CONICET",P38.-Regional and temporal assessment of neurodegeneration in inducible TDP-43-WT transgenic mice,Cellular and Molecular Neurobiology,2017
