,autor,tema,titulo,year
22, Vanesa Bazzocchini,Brain Awareness Week Activities ,P4.- What do you have in mind? ,2018
23, Vanina Bugueño,Brain Awareness Week Activities ,P4.- What do you have in mind? ,2018
24, Sebastián García ,Brain Awareness Week Activities ,P4.- What do you have in mind? ,2018
25," 
Silvia Kochen1",Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
26, Cecilia Forcato1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
27,2,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
28, Paula N. González1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
29, Mariana Vallejo1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
30, Malen Moyano1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
31," Mariana 
Benderky1",Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
32, Silvia Oddo1 ,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems ",2018
33, ,Brain Awareness Week Activities ,"P6.-Getting in contact with schools: the synapsis between students and 
neuroscientists ",2018
34," 
Maria Florencia Acutain1",Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES ",2018
35, Cecilia Vazquez1,Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES ",2018
36, Anna Salvetti3,Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES ",2018
37, Diana Alicia Jerusalinsky1,Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES ",2018
38," Maria Veronica 
Baez1 ",Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES ",2018
39," 
Carolina Desirée Alberca Doto1",Cellular and Molecular Neurobiology ,"P8.-The impact of DNA methylation/demethylation machinery on 
hippocampus of female weaned mice and their dams in a protein malnutrition 
model ",2018
40,  Eduardo Cánepa2,Cellular and Molecular Neurobiology ,"P8.-The impact of DNA methylation/demethylation machinery on 
hippocampus of female weaned mice and their dams in a protein malnutrition 
model ",2018
41, Mariela Chertoff2 ,Cellular and Molecular Neurobiology ,"P8.-The impact of DNA methylation/demethylation machinery on 
hippocampus of female weaned mice and their dams in a protein malnutrition 
model ",2018
42," 
Leandro G. Allende",Cellular and Molecular Neurobiology ,"P9.-Sphingosine kinases and NPC1 decrease would contribute to altered 
function in old hippocampal neurons ",2018
43, Maria F. Harman,Cellular and Molecular Neurobiology ,"P9.-Sphingosine kinases and NPC1 decrease would contribute to altered 
function in old hippocampal neurons ",2018
44, Mauricio G. Martin ,Cellular and Molecular Neurobiology ,"P9.-Sphingosine kinases and NPC1 decrease would contribute to altered 
function in old hippocampal neurons ",2018
45," 
Ignacio Alonso",Cellular and Molecular Neurobiology ,P10.-Do not perturb me while I crawl ,2018
46, Agustín Sanchez Merlinsy,Cellular and Molecular Neurobiology ,P10.-Do not perturb me while I crawl ,2018
47, Lidia Szczupak ,Cellular and Molecular Neurobiology ,P10.-Do not perturb me while I crawl ,2018
48," 
Sofia Elisa Alzuri1",Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats ",2018
49, Daniela Hlavacova2,Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats ",2018
50, Natasa Jezova2,Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats ",2018
51, Beata Fuchsova1 ,Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats ",2018
52," 
Natalia Andersen",Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging ,2018
53, Facundo Aletto,Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging ,2018
54, María José De Rosa,Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging ,2018
55, Diego Rayes ,Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging ,2018
56," 
Magdalena Antonino1",Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. ",2018
57, Juliana Musso1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. ",2018
58, Leandro Freites1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. ",2018
59, Alfredo Lorenzo1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. ",2018
60,2,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. ",2018
61, Anahi Bignante1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. ",2018
62,3 ,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. ",2018
63," 
Gabriela Inés Aparicio",Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT ",2018
64, Antonella León,Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT ",2018
65, Alberto C. C. Frasch,Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT ",2018
66, Camila Scorticati ,Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT ",2018
67," 
Joana Asensio1",Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) ",2018
68, Sergio Benitez1,Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) ",2018
69, Susana Valdez2,Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) ",2018
70, Alicia Seltzer1 ,Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) ",2018
71," 
Cristian R Bacaglio1",Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies ",2018
72, Andres Berardo1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies ",2018
73, Bárbara B. Báez1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies ",2018
74, Ana L. Vivinetto1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies ",2018
75, Mara S. Matalloni1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies ",2018
76," Pablo H. H. 
López1",Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies ",2018
77, Pablo H. H. López2 ,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies ",2018
78," 
Pedro Ballestero1",Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
79,2,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
80, Alejandra Bernardi1,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
81, Mariana Ferrario3,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
82, Marcela Schenk3,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
83, Irene Taravini4,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
84," Oscar 
Gershanik1",Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
85, Sandra Guerrero3,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
86, Nara Muraro2*,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
87, Juan Ferrario1* ,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease ",2018
88,Presenting author: Pablo Barcelona,Cellular and Molecular Neurobiology ,"P18.- CHARACTERIZATION OF FUNCTIONAL ASPECTS OF THE RETINA IN A 
MOUSE MODEL OF LASER-INDUCED CHOROIDAL NEOVASCULARIZATION (CNV) 
 
Pablo F. Barcelona1, Paula V. Subirada1, Tomas N. Sabbi2, Marilyn A. Márquez2, Maria V. Vaglienti1, 
Magali E. Ridano1, Gabriel E. Márquez2, Maria C. Paz1, Jose D. Luna2, Maria C. Sanchez1 
 
1 Departamento de Bioquímica Clínica, Facultad de Ciencias Químicas, UNC. CIBICI-CONICET, Córdoba, 
Argentina., 2 Departamento de Vítreo-Retina, Centro Privado de Ojos Romagosa, Fundación VER, Córdoba, 
Argentina ",2018
89," pbarcelona@fcq.unc.edu.ar 
_________________________________________________________________________________________ ",Cellular and Molecular Neurobiology ,"P18.- CHARACTERIZATION OF FUNCTIONAL ASPECTS OF THE RETINA IN A 
MOUSE MODEL OF LASER-INDUCED CHOROIDAL NEOVASCULARIZATION (CNV) 
 
Pablo F. Barcelona1, Paula V. Subirada1, Tomas N. Sabbi2, Marilyn A. Márquez2, Maria V. Vaglienti1, 
Magali E. Ridano1, Gabriel E. Márquez2, Maria C. Paz1, Jose D. Luna2, Maria C. Sanchez1 
 
1 Departamento de Bioquímica Clínica, Facultad de Ciencias Químicas, UNC. CIBICI-CONICET, Córdoba, 
Argentina., 2 Departamento de Vítreo-Retina, Centro Privado de Ojos Romagosa, Fundación VER, Córdoba, 
Argentina ",2018
90," 
María Lucía Bartolomeu",Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons ,2018
91, Abel Carcagno,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons ,2018
92, Daniela Di Bella,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons ,2018
93, Nicole Siegel,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons ,2018
94, Guillermo Lanuza ,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons ,2018
95," 
Raquel Becerra1",Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
96, Annette Vogl2,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
97, Sebastián Giusti1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
98, Florencia Merino1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
99, Ivana Linenberg1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
100, Jeronimo Lukin1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
101," 
Matín Bordenave3",Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
102, Fernando Stefani3,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
103, Damián Refojo1 ,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics ",2018
104," 
Maria Mercedes Benedetto",Cellular and Molecular Neurobiology ,"P21.-LOW LED LIGHT EXPOSURE AS A MODEL OF RETINAL DEGENERATION IN 
ALBINO RATS ",2018
105, Maria Ana Contin ,Cellular and Molecular Neurobiology ,"P21.-LOW LED LIGHT EXPOSURE AS A MODEL OF RETINAL DEGENERATION IN 
ALBINO RATS ",2018
106," 
Mariano Bisbal1",Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
107, Leticia Peris2,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
108, Jose Hernandez-Martinez3,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
109, Eric Denarier1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
110, Christophe Bosc1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
111," Isabelle 
Arnal1",Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
112, Alain Buisson1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
113, Laurent Blanchoin1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
114, Christian Delphin1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
115, Annie Andrieux1 ,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines ",2018
116," 
María Gabriela Blanco1",Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
117,2,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
118, Sebastian Giunti1,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
119,2,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
120, Diego Rayes1,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
121,2,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
122, María José De Rosa1,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
123,2 ,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans ",2018
124," 
Laura V. Bonnet",Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells ",2018
125, Jesica B. Flores-Martin,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells ",2018
126, Anabela Palandri,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells ",2018
127, Marta E. Hallak,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells ",2018
128, Mauricio R. Galiano ,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells ",2018
129," 
Luciano Ariel Brum",Cellular and Molecular Neurobiology ,"P25.-Role of Gata3 in the Development and Maintenance of Serotonergic 
Neuron Identity ",2018
130, Santiago Olszevicki,Cellular and Molecular Neurobiology ,"P25.-Role of Gata3 in the Development and Maintenance of Serotonergic 
Neuron Identity ",2018
131, Guillermo Lanuza ,Cellular and Molecular Neurobiology ,"P25.-Role of Gata3 in the Development and Maintenance of Serotonergic 
Neuron Identity ",2018
132, ,Cellular and Molecular Neurobiology ,"P26.- Differences on the effect of proteins of the same tethering complex on 
neuronal polarity ",2018
133," 
Vanesa Cadena",Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE ",2018
134, Gerardo Rosciszewski,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE ",2018
135, Alejandro Villarreal,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE ",2018
136, Belén Cieri,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE ",2018
137, Alberto Javier Ramos ,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE ",2018
138," 
Jorge Martín Caliva1",Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments ",2018
139, Fernando Falkenburger Melleu2,Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments ",2018
140, José Marino- Neto2,Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments ",2018
141, Raúl Héctor Marín1,Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments ",2018
142," Jackelyn 
Melissa Kembro1 ",Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments ",2018
143," 
Andrea N. Beltrán González",Cellular and Molecular Neurobiology ,"P29.-Characterization of the antagonistic actions of histamine on homomeric 
GABAAρ1 receptors ",2018
144, Manuel I. López Pazos,Cellular and Molecular Neurobiology ,"P29.-Characterization of the antagonistic actions of histamine on homomeric 
GABAAρ1 receptors ",2018
145, Daniel J. Calvo ,Cellular and Molecular Neurobiology ,"P29.-Characterization of the antagonistic actions of histamine on homomeric 
GABAAρ1 receptors ",2018
146," 
Tomás Roberto Carden",Cellular and Molecular Neurobiology ,P30.-Are transferrin pro-differentiating effects on neurons mediated by iron? ,2018
147, María Julia Pérez,Cellular and Molecular Neurobiology ,P30.-Are transferrin pro-differentiating effects on neurons mediated by iron? ,2018
148, Juana María Pasquini ,Cellular and Molecular Neurobiology ,P30.-Are transferrin pro-differentiating effects on neurons mediated by iron? ,2018
149," 
Lila Carniglia",Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
150, Julieta Saba,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
151, Delia Ramírez,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
152, Juan Turati,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
153, Federico López Couselo,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
154, Carla Caruso,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
155," Daniela 
Durand",Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
156, Mercedes Lasaga ,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation ",2018
157,Presenting author: Clara Castañares,Cellular and Molecular Neurobiology ,"P32.-MAG as a therapeutic target for neurodegenerative diseases related to 
glutamate overload 
 
Clara Nicole Castañares1, Ana Laura Vivinetto1, Cristian Roman Bacaglio1, Bárbara Beatriz Baez1, Pablo 
Hector Horacio Lopez1,2 
 
1 Instituto de Investigación Médica Mercedes y Martín Ferreyra, 2 Facultad de Psicología ",2018
158," clari.nicole12@gmail.com 
_________________________________________________________________________________________ ",Cellular and Molecular Neurobiology ,"P32.-MAG as a therapeutic target for neurodegenerative diseases related to 
glutamate overload 
 
Clara Nicole Castañares1, Ana Laura Vivinetto1, Cristian Roman Bacaglio1, Bárbara Beatriz Baez1, Pablo 
Hector Horacio Lopez1,2 
 
1 Instituto de Investigación Médica Mercedes y Martín Ferreyra, 2 Facultad de Psicología ",2018
159, ,Cellular and Molecular Neurobiology ," 
P33.-Studying synaptic transmission at the level of individual synaptic vesicles 
 
Natali L. Chanaday R., Ege T. Kavalali 
 
Department of Neuroscience, UT SOuthwestern Medical Center, Dallas, TX (US)  ",2018
160," 
Santiago Elías Charif1",Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method ",2018
161, María Cotarelo2,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method ",2018
162,3,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method ",2018
