,autor,titulo,tema
0, Fernado C. Alsina,P27.-Pea3 transcription factors are key mediators of hippocampal dendrite growth  during development,Cellular and Molecular Neurobiology
0, Dolores Irala,P27.-Pea3 transcription factors are key mediators of hippocampal dendrite growth  during development,Cellular and Molecular Neurobiology
0, Antonela Bonafina,P27.-Pea3 transcription factors are key mediators of hippocampal dendrite growth  during development,Cellular and Molecular Neurobiology
0, Gustavo Paratcha,P27.-Pea3 transcription factors are key mediators of hippocampal dendrite growth  during development,Cellular and Molecular Neurobiology
0, Fernanda ,P27.-Pea3 transcription factors are key mediators of hippocampal dendrite growth  during development,Cellular and Molecular Neurobiology
0,Karina Formoso,P28.-Filopodia formation driven by M6a depends upon M6a´s oligomerization,Cellular and Molecular Neurobiology
0, Micaela Daiana Garcia,P28.-Filopodia formation driven by M6a depends upon M6a´s oligomerization,Cellular and Molecular Neurobiology
0, Alberto Carlos Frasch,P28.-Filopodia formation driven by M6a depends upon M6a´s oligomerization,Cellular and Molecular Neurobiology
0, Camila Scorticati ,P28.-Filopodia formation driven by M6a depends upon M6a´s oligomerization,Cellular and Molecular Neurobiology
0,Micaela Daiana Garcia,P29.-Phosphorylation of M6a at Serine-267 induces filopodia formation in rat  hippocampal neurons,Cellular and Molecular Neurobiology
0, Karina Formoso,P29.-Phosphorylation of M6a at Serine-267 induces filopodia formation in rat  hippocampal neurons,Cellular and Molecular Neurobiology
0, Alberto Carlos Frasch,P29.-Phosphorylation of M6a at Serine-267 induces filopodia formation in rat  hippocampal neurons,Cellular and Molecular Neurobiology
0, Camila Scorticati ,P29.-Phosphorylation of M6a at Serine-267 induces filopodia formation in rat  hippocampal neurons,Cellular and Molecular Neurobiology
0,María Paula Ibañez Rodriguez1°,P30.-The pineal gland: thinking outside the box,Cellular and Molecular Neurobiology
0, Stephen Noctor2°,P30.-The pineal gland: thinking outside the box,Cellular and Molecular Neurobiology
0, Estela Maris Muñoz1°,P30.-The pineal gland: thinking outside the box,Cellular and Molecular Neurobiology
0,Ignacio Jure1°,P31.-Progesterone effects on transcription factors that drive oligodendrogenesis  after spinal cord injury,Cellular and Molecular Neurobiology
0, Susana Gonzalez3°,P31.-Progesterone effects on transcription factors that drive oligodendrogenesis  after spinal cord injury,Cellular and Molecular Neurobiology
0, Alejandro De Nicola2°,P31.-Progesterone effects on transcription factors that drive oligodendrogenesis  after spinal cord injury,Cellular and Molecular Neurobiology
0, Florencia Labombarda2°,P31.-Progesterone effects on transcription factors that drive oligodendrogenesis  after spinal cord injury,Cellular and Molecular Neurobiology
0,Noelia G. Lino1° 2°,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0, Francisco J. Urbano1°,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0, Osvaldo D. Uchitel1°Cellular Biology,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0, Faculty of Exact & Natural Sciences,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0, University of Buenos Aires,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0, CABA,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0, Buenos Aires C1428EHA,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0, ,P32.-Array Tomography as a Tool for Tracking the Distribution of ASIC1a at the  Neuromuscular Junction,Cellular and Molecular Neurobiology
0,Eduardo Javier López Soto,P33-Two signaling pathways mediate presynaptic voltage gated calcium channels  inhibition by ghrelin receptor activation,Cellular and Molecular Neurobiology
0, Francina Agosti,P33-Two signaling pathways mediate presynaptic voltage gated calcium channels  inhibition by ghrelin receptor activation,Cellular and Molecular Neurobiology
0, Valentina Martínez Damonte,P33-Two signaling pathways mediate presynaptic voltage gated calcium channels  inhibition by ghrelin receptor activation,Cellular and Molecular Neurobiology
0, Emilio Román Mustafa,P33-Two signaling pathways mediate presynaptic voltage gated calcium channels  inhibition by ghrelin receptor activation,Cellular and Molecular Neurobiology
0, ,P33-Two signaling pathways mediate presynaptic voltage gated calcium channels  inhibition by ghrelin receptor activation,Cellular and Molecular Neurobiology
0,Luciana Luchelli1°,P34.-TDP-43 transgenic mouse models display altered brain polysomal profiles,Cellular and Molecular Neurobiology
0, Maria Elena Avale2°,P34.-TDP-43 transgenic mouse models display altered brain polysomal profiles,Cellular and Molecular Neurobiology
0, Lionel Muller Igaz1°,P34.-TDP-43 transgenic mouse models display altered brain polysomal profiles,Cellular and Molecular Neurobiology
0,Irina Marcovich1°,P35.-Study of the adaptive evolution of the α9α10 cholinergic nicotinic receptor,Cellular and Molecular Neurobiology
0, Paola Plazas1°,P35.-Study of the adaptive evolution of the α9α10 cholinergic nicotinic receptor,Cellular and Molecular Neurobiology
0, Marcela Lipovsek2°,P35.-Study of the adaptive evolution of the α9α10 cholinergic nicotinic receptor,Cellular and Molecular Neurobiology
0, Ana Belén Elgoyhen1°,P35.-Study of the adaptive evolution of the α9α10 cholinergic nicotinic receptor,Cellular and Molecular Neurobiology
0,Magdalena Miranda1°,P36.-Arc is required for pattern separation across the spatial and the object  domains in the dentate gyrus and perirhinal cortex,Cellular and Molecular Neurobiology
0, Facundo Morici2°,P36.-Arc is required for pattern separation across the spatial and the object  domains in the dentate gyrus and perirhinal cortex,Cellular and Molecular Neurobiology
0, Pedro Bekinschtein1°,P36.-Arc is required for pattern separation across the spatial and the object  domains in the dentate gyrus and perirhinal cortex,Cellular and Molecular Neurobiology
0,Gonzalo Montenegro,P37.-Regional differences of astrocyte response to neurotrophins,Cellular and Molecular Neurobiology
0, Daniel Hugo Mascó,P37.-Regional differences of astrocyte response to neurotrophins,Cellular and Molecular Neurobiology
0, Andrea Beatriz Cragnolini ,P37.-Regional differences of astrocyte response to neurotrophins,Cellular and Molecular Neurobiology
0,Laura Montroull1°,P38.-To die or to not die… The fight between TrkB and p75ntr signaling,Cellular and Molecular Neurobiology
0, Víctor Danelon1°,P38.-To die or to not die… The fight between TrkB and p75ntr signaling,Cellular and Molecular Neurobiology
0, Emiliano Zamponi2°,P38.-To die or to not die… The fight between TrkB and p75ntr signaling,Cellular and Molecular Neurobiology
0, Pablo Helguera2°,P38.-To die or to not die… The fight between TrkB and p75ntr signaling,Cellular and Molecular Neurobiology
0, Daniel Mascó1°,P38.-To die or to not die… The fight between TrkB and p75ntr signaling,Cellular and Molecular Neurobiology
0,Luis Morera,P39.-Sensing Light by Horizontal Cells in the Chicken Retina: A New Player in the  Photoreceptive System,Cellular and Molecular Neurobiology
0, Nicolas Diaz,P39.-Sensing Light by Horizontal Cells in the Chicken Retina: A New Player in the  Photoreceptive System,Cellular and Molecular Neurobiology
0, Mario Guido,P39.-Sensing Light by Horizontal Cells in the Chicken Retina: A New Player in the  Photoreceptive System,Cellular and Molecular Neurobiology
0,Veronica Murta1°,P40.-Nanoparticles for targeted drug delivery to glial cells after brain ischemia,Cellular and Molecular Neurobiology
0, Priscila Schilrreff P2°,P40.-Nanoparticles for targeted drug delivery to glial cells after brain ischemia,Cellular and Molecular Neurobiology
0, Mariana Seib2°,P40.-Nanoparticles for targeted drug delivery to glial cells after brain ischemia,Cellular and Molecular Neurobiology
0, María José Morrilla2°,P40.-Nanoparticles for targeted drug delivery to glial cells after brain ischemia,Cellular and Molecular Neurobiology
0, Alberto Javier Ramos1°,P40.-Nanoparticles for targeted drug delivery to glial cells after brain ischemia,Cellular and Molecular Neurobiology
0,Emilio Román Mustafa,P41.-Study of the impact of ghrelin receptor dimerization with other G-protein  coupled receptors on calcium channel modulation,Cellular and Molecular Neurobiology
0, Santiago Cordisco,P41.-Study of the impact of ghrelin receptor dimerization with other G-protein  coupled receptors on calcium channel modulation,Cellular and Molecular Neurobiology
0, Eduardo Javier López Soto,P41.-Study of the impact of ghrelin receptor dimerization with other G-protein  coupled receptors on calcium channel modulation,Cellular and Molecular Neurobiology
0, Silvia Rodríguez,P41.-Study of the impact of ghrelin receptor dimerization with other G-protein  coupled receptors on calcium channel modulation,Cellular and Molecular Neurobiology
0, Jesica Raingo ,P41.-Study of the impact of ghrelin receptor dimerization with other G-protein  coupled receptors on calcium channel modulation,Cellular and Molecular Neurobiology
0,María G. Otero1°,P42.-First evidence of the proteasome fast axonal transport mediated by molecular  motors and membrane interaction,Cellular and Molecular Neurobiology
0, Trinidad MM. Saez2°,P42.-First evidence of the proteasome fast axonal transport mediated by molecular  motors and membrane interaction,Cellular and Molecular Neurobiology
0, Matías Alloatti1°,P42.-First evidence of the proteasome fast axonal transport mediated by molecular  motors and membrane interaction,Cellular and Molecular Neurobiology
0, Lucas E. Cromberg1°,P42.-First evidence of the proteasome fast axonal transport mediated by molecular  motors and membrane interaction,Cellular and Molecular Neurobiology
0, Victorio M. Pozo Devoto1°,P42.-First evidence of the proteasome fast axonal transport mediated by molecular  motors and membrane interaction,Cellular and Molecular Neurobiology
0, ,P42.-First evidence of the proteasome fast axonal transport mediated by molecular  motors and membrane interaction,Cellular and Molecular Neurobiology
0,mediated activation of RhoA signaling pathwayH H Lopez1° 3°,P43.-Myelin-Associated Glycoprotein modulates programmed cell death of  motoneurons during early postnatal development via NgR/p75NTR receptor-,Cellular and Molecular Neurobiology
0,Patricio Pavía,"P44.-Microglial Alterations Before And After Plaque Deposition in PDAPP-J20  MICE, Model of Alzheimer’s Disease",Cellular and Molecular Neurobiology
0, Ángeles Vinuesa,"P44.-Microglial Alterations Before And After Plaque Deposition in PDAPP-J20  MICE, Model of Alzheimer’s Disease",Cellular and Molecular Neurobiology
0, Carlos Pomilio,"P44.-Microglial Alterations Before And After Plaque Deposition in PDAPP-J20  MICE, Model of Alzheimer’s Disease",Cellular and Molecular Neurobiology
0, Juan Beauquis,"P44.-Microglial Alterations Before And After Plaque Deposition in PDAPP-J20  MICE, Model of Alzheimer’s Disease",Cellular and Molecular Neurobiology
0, Flavia Saravia ,"P44.-Microglial Alterations Before And After Plaque Deposition in PDAPP-J20  MICE, Model of Alzheimer’s Disease",Cellular and Molecular Neurobiology
0,Gonzalo Miguel Piñero,P45.-Remyelination by Bone Marrow Mononuclear Cells: efficiency in cell tracking  vs efficiency in cell functionality.,Cellular and Molecular Neurobiology
0, Vanina Usach,P45.-Remyelination by Bone Marrow Mononuclear Cells: efficiency in cell tracking  vs efficiency in cell functionality.,Cellular and Molecular Neurobiology
0, Patricia Setton-Avruj ,P45.-Remyelination by Bone Marrow Mononuclear Cells: efficiency in cell tracking  vs efficiency in cell functionality.,Cellular and Molecular Neurobiology
0,Mariana Psyrdellis,P46.-Effects of propranolol applied before and after the processing of novelty as a  modulator of frustration,Cellular and Molecular Neurobiology
0,María Luz Quinteros Quintana2°,P47.-Electroretinographic signals in a model of retinal degeneration in rats,Cellular and Molecular Neurobiology
0, María Mercedes Benedetto1°,P47.-Electroretinographic signals in a model of retinal degeneration in rats,Cellular and Molecular Neurobiology
0, Elizabeth Vera de Payer2°,P47.-Electroretinographic signals in a model of retinal degeneration in rats,Cellular and Molecular Neurobiology
0, Mario ,P47.-Electroretinographic signals in a model of retinal degeneration in rats,Cellular and Molecular Neurobiology
0,Irene Riveros Barrera1°,P48.-Genetic characterization of the promoter polymorphism in SLC6A4 gene  (5HTTLPR) in a sample of Colombian population with Major Depression: Pilot Study,Cellular and Molecular Neurobiology
0, Luis Eduardo Jaramillo2°,P48.-Genetic characterization of the promoter polymorphism in SLC6A4 gene  (5HTTLPR) in a sample of Colombian population with Major Depression: Pilot Study,Cellular and Molecular Neurobiology
0, Manuel Jose Calvo2°,P48.-Genetic characterization of the promoter polymorphism in SLC6A4 gene  (5HTTLPR) in a sample of Colombian population with Major Depression: Pilot Study,Cellular and Molecular Neurobiology
0, Juan Jose Yunis Londoño1°3°,P48.-Genetic characterization of the promoter polymorphism in SLC6A4 gene  (5HTTLPR) in a sample of Colombian population with Major Depression: Pilot Study,Cellular and Molecular Neurobiology
0,Victoria Rozés Salvador1°,P49.-Guillain Barre Syndrome-Associated Anti-Glycan Antibodies Alter Growth  Cone Tubulin Cytoskeleton Via RhoA/ROCK Pathway from Growing DRGs Neurons,Cellular and Molecular Neurobiology
0, Florencia Heredia1°,P49.-Guillain Barre Syndrome-Associated Anti-Glycan Antibodies Alter Growth  Cone Tubulin Cytoskeleton Via RhoA/ROCK Pathway from Growing DRGs Neurons,Cellular and Molecular Neurobiology
0, José Wojnacki1°,P49.-Guillain Barre Syndrome-Associated Anti-Glycan Antibodies Alter Growth  Cone Tubulin Cytoskeleton Via RhoA/ROCK Pathway from Growing DRGs Neurons,Cellular and Molecular Neurobiology
0, Anabela Palandri1°,P49.-Guillain Barre Syndrome-Associated Anti-Glycan Antibodies Alter Growth  Cone Tubulin Cytoskeleton Via RhoA/ROCK Pathway from Growing DRGs Neurons,Cellular and Molecular Neurobiology
0, Alfredo Caceres1°,P49.-Guillain Barre Syndrome-Associated Anti-Glycan Antibodies Alter Growth  Cone Tubulin Cytoskeleton Via RhoA/ROCK Pathway from Growing DRGs Neurons,Cellular and Molecular Neurobiology
0, ,P49.-Guillain Barre Syndrome-Associated Anti-Glycan Antibodies Alter Growth  Cone Tubulin Cytoskeleton Via RhoA/ROCK Pathway from Growing DRGs Neurons,Cellular and Molecular Neurobiology
0,Trinidad MM Saez1°,P50.-New properties of motor protein dependent transport in the axonal guidance  of the telencephalic axonal tracts,Cellular and Molecular Neurobiology
0, María Gabriela Otero2°,P50.-New properties of motor protein dependent transport in the axonal guidance  of the telencephalic axonal tracts,Cellular and Molecular Neurobiology
0, Matías Alloatti2°,P50.-New properties of motor protein dependent transport in the axonal guidance  of the telencephalic axonal tracts,Cellular and Molecular Neurobiology
0, Lucas E Cromberg2°,P50.-New properties of motor protein dependent transport in the axonal guidance  of the telencephalic axonal tracts,Cellular and Molecular Neurobiology
0, Victorio M Pozo ,P50.-New properties of motor protein dependent transport in the axonal guidance  of the telencephalic axonal tracts,Cellular and Molecular Neurobiology
0,Angeles Salles1°,P51.-Guess who’s learning too!,Cellular and Molecular Neurobiology
0, Maria del Carmen Krawczyk2°,P51.-Guess who’s learning too!,Cellular and Molecular Neurobiology
0, Mariano Boccia2°,P51.-Guess who’s learning too!,Cellular and Molecular Neurobiology
0, Arturo Romano1°,P51.-Guess who’s learning too!,Cellular and Molecular Neurobiology
0, Ramiro ,P51.-Guess who’s learning too!,Cellular and Molecular Neurobiology
