,autor,tema,poster
16, Vanesa Cadena1,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES "
17, María Belén Cieri1,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES "
18," Edgardo Gabriel 
Rosciszewski2",Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES "
19, Alberto Javier Ramos1 ,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES "
20," 
Paula Bonaccorso",Brain Awareness Week Activities ,P4.- What do you have in mind? 
21, Belén Mulle,Brain Awareness Week Activities ,P4.- What do you have in mind? 
22, Vanesa Bazzocchini,Brain Awareness Week Activities ,P4.- What do you have in mind? 
23, Vanina Bugueño,Brain Awareness Week Activities ,P4.- What do you have in mind? 
24, Sebastián García ,Brain Awareness Week Activities ,P4.- What do you have in mind? 
25," 
Silvia Kochen1",Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
26, Cecilia Forcato1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
27,2,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
28, Paula N. González1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
29, Mariana Vallejo1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
30, Malen Moyano1,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
31," Mariana 
Benderky1",Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
32, Silvia Oddo1 ,Brain Awareness Week Activities ,"P5.-Activities for the brain awareness week organized by the Institute of 
Neurosciences and Complex Systems "
33, ,Brain Awareness Week Activities ,"P6.-Getting in contact with schools: the synapsis between students and 
neuroscientists "
34," 
Maria Florencia Acutain1",Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES "
35, Cecilia Vazquez1,Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES "
36, Anna Salvetti3,Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES "
37, Diana Alicia Jerusalinsky1,Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES "
38," Maria Veronica 
Baez1 ",Cellular and Molecular Neurobiology ,"P7.-MOLECULAR CHANGES IN GLUN2A KNOCKDOWN OF MATURE PRIMARY 
NEURONAL CULTURES "
39," 
Carolina Desirée Alberca Doto1",Cellular and Molecular Neurobiology ,"P8.-The impact of DNA methylation/demethylation machinery on 
hippocampus of female weaned mice and their dams in a protein malnutrition 
model "
40,  Eduardo Cánepa2,Cellular and Molecular Neurobiology ,"P8.-The impact of DNA methylation/demethylation machinery on 
hippocampus of female weaned mice and their dams in a protein malnutrition 
model "
41, Mariela Chertoff2 ,Cellular and Molecular Neurobiology ,"P8.-The impact of DNA methylation/demethylation machinery on 
hippocampus of female weaned mice and their dams in a protein malnutrition 
model "
42," 
Leandro G. Allende",Cellular and Molecular Neurobiology ,"P9.-Sphingosine kinases and NPC1 decrease would contribute to altered 
function in old hippocampal neurons "
43, Maria F. Harman,Cellular and Molecular Neurobiology ,"P9.-Sphingosine kinases and NPC1 decrease would contribute to altered 
function in old hippocampal neurons "
44, Mauricio G. Martin ,Cellular and Molecular Neurobiology ,"P9.-Sphingosine kinases and NPC1 decrease would contribute to altered 
function in old hippocampal neurons "
45," 
Ignacio Alonso",Cellular and Molecular Neurobiology ,P10.-Do not perturb me while I crawl 
46, Agustín Sanchez Merlinsy,Cellular and Molecular Neurobiology ,P10.-Do not perturb me while I crawl 
47, Lidia Szczupak ,Cellular and Molecular Neurobiology ,P10.-Do not perturb me while I crawl 
48," 
Sofia Elisa Alzuri1",Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats "
49, Daniela Hlavacova2,Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats "
50, Natasa Jezova2,Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats "
51, Beata Fuchsova1 ,Cellular and Molecular Neurobiology ,"P11.-Analysis of the regulatory mechanisms that affect Gpm6a expression 
levels in the hippocampus of chronically stressed rats "
52," 
Natalia Andersen",Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging 
53, Facundo Aletto,Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging 
54, María José De Rosa,Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging 
55, Diego Rayes ,Cellular and Molecular Neurobiology ,P12.-A deeper view into the effects of repetitive traumatic stress on aging 
56," 
Magdalena Antonino1",Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. "
57, Juliana Musso1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. "
58, Leandro Freites1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. "
59, Alfredo Lorenzo1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. "
60,2,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. "
61, Anahi Bignante1,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. "
62,3 ,Cellular and Molecular Neurobiology ,"P13.-Role of Aβ/APP interaction in the increase of APP and BACE 1 
convergence induced by Aβ. "
63," 
Gabriela Inés Aparicio",Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT "
64, Antonella León,Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT "
65, Alberto C. C. Frasch,Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT "
66, Camila Scorticati ,Cellular and Molecular Neurobiology ,"P14.-NEURONAL GLYCOPROTEIN M6A AS A KEY REGULATOR OF SYNAPTIC 
PLASTICITY DURING EXTRA UTERINE BRAIN DEVELOPMENT "
67," 
Joana Asensio1",Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) "
68, Sergio Benitez1,Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) "
69, Susana Valdez2,Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) "
70, Alicia Seltzer1 ,Cellular and Molecular Neurobiology ,"P15.-IGF-1 expression in the cerebellum of the developing Spontaneously 
Hypertensive Rat (SHR) "
71," 
Cristian R Bacaglio1",Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies "
72, Andres Berardo1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies "
73, Bárbara B. Báez1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies "
74, Ana L. Vivinetto1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies "
75, Mara S. Matalloni1,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies "
76," Pablo H. H. 
López1",Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies "
77, Pablo H. H. López2 ,Cellular and Molecular Neurobiology ,"P16.-Molecular mechanisms associated with impaired peripheral nerve repair 
mediated by anti-ganglioside antibodies "
78," 
Pedro Ballestero1",Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
79,2,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
80, Alejandra Bernardi1,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
81, Mariana Ferrario3,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
82, Marcela Schenk3,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
83, Irene Taravini4,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
84," Oscar 
Gershanik1",Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
85, Sandra Guerrero3,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
86, Nara Muraro2*,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
87, Juan Ferrario1* ,Cellular and Molecular Neurobiology ,"P17.-Neuroprotective effect of Yerba mate (Ilex paraguariensis) on cultured 
dopaminergic neurons, from in vitro to Drosophila models of Parkinson’s 
disease "
88,Presenting author: Pablo Barcelona,Cellular and Molecular Neurobiology ,"P18.- CHARACTERIZATION OF FUNCTIONAL ASPECTS OF THE RETINA IN A 
MOUSE MODEL OF LASER-INDUCED CHOROIDAL NEOVASCULARIZATION (CNV) 
 
Pablo F. Barcelona1, Paula V. Subirada1, Tomas N. Sabbi2, Marilyn A. Márquez2, Maria V. Vaglienti1, 
Magali E. Ridano1, Gabriel E. Márquez2, Maria C. Paz1, Jose D. Luna2, Maria C. Sanchez1 
 
1 Departamento de Bioquímica Clínica, Facultad de Ciencias Químicas, UNC. CIBICI-CONICET, Córdoba, 
Argentina., 2 Departamento de Vítreo-Retina, Centro Privado de Ojos Romagosa, Fundación VER, Córdoba, 
Argentina "
89," pbarcelona@fcq.unc.edu.ar 
_________________________________________________________________________________________ ",Cellular and Molecular Neurobiology ,"P18.- CHARACTERIZATION OF FUNCTIONAL ASPECTS OF THE RETINA IN A 
MOUSE MODEL OF LASER-INDUCED CHOROIDAL NEOVASCULARIZATION (CNV) 
 
Pablo F. Barcelona1, Paula V. Subirada1, Tomas N. Sabbi2, Marilyn A. Márquez2, Maria V. Vaglienti1, 
Magali E. Ridano1, Gabriel E. Márquez2, Maria C. Paz1, Jose D. Luna2, Maria C. Sanchez1 
 
1 Departamento de Bioquímica Clínica, Facultad de Ciencias Químicas, UNC. CIBICI-CONICET, Córdoba, 
Argentina., 2 Departamento de Vítreo-Retina, Centro Privado de Ojos Romagosa, Fundación VER, Córdoba, 
Argentina "
90," 
María Lucía Bartolomeu",Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons 
91, Abel Carcagno,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons 
92, Daniela Di Bella,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons 
93, Nicole Siegel,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons 
94, Guillermo Lanuza ,Cellular and Molecular Neurobiology ,P19.-Terminal differentiation of late-born spinal cord neurons 
95," 
Raquel Becerra1",Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
96, Annette Vogl2,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
97, Sebastián Giusti1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
98, Florencia Merino1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
99, Ivana Linenberg1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
100, Jeronimo Lukin1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
101," 
Matín Bordenave3",Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
102, Fernando Stefani3,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
103, Damián Refojo1 ,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway regulates axo-dendritic development by 
controlling cytoskeletal dynamics "
104," 
Maria Mercedes Benedetto",Cellular and Molecular Neurobiology ,"P21.-LOW LED LIGHT EXPOSURE AS A MODEL OF RETINAL DEGENERATION IN 
ALBINO RATS "
105, Maria Ana Contin ,Cellular and Molecular Neurobiology ,"P21.-LOW LED LIGHT EXPOSURE AS A MODEL OF RETINAL DEGENERATION IN 
ALBINO RATS "
106," 
Mariano Bisbal1",Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
107, Leticia Peris2,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
108, Jose Hernandez-Martinez3,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
109, Eric Denarier1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
110, Christophe Bosc1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
111," Isabelle 
Arnal1",Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
112, Alain Buisson1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
113, Laurent Blanchoin1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
114, Christian Delphin1,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
115, Annie Andrieux1 ,Cellular and Molecular Neurobiology ,"P22.-A key function for Microtubule-Associated-Protein 6 in activity-
dependent stabilization of actin filaments in dendritic spines "
116," 
María Gabriela Blanco1",Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
117,2,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
118, Sebastian Giunti1,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
119,2,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
120, Diego Rayes1,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
121,2,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
122, María José De Rosa1,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
123,2 ,Cellular and Molecular Neurobiology ,"P23.-Serotonin and Catecholamines Neuronal Circuits regulate opposing 
behaviors in Caenorhabditis elegans "
124," 
Laura V. Bonnet",Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells "
125, Jesica B. Flores-Martin,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells "
126, Anabela Palandri,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells "
127, Marta E. Hallak,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells "
128, Mauricio R. Galiano ,Cellular and Molecular Neurobiology ,"P24.-Downregulation of arginyltransferase (Ate1) enhances bortezomib-
induced cell death in human glioma cells "
129," 
Luciano Ariel Brum",Cellular and Molecular Neurobiology ,"P25.-Role of Gata3 in the Development and Maintenance of Serotonergic 
Neuron Identity "
130, Santiago Olszevicki,Cellular and Molecular Neurobiology ,"P25.-Role of Gata3 in the Development and Maintenance of Serotonergic 
Neuron Identity "
131, Guillermo Lanuza ,Cellular and Molecular Neurobiology ,"P25.-Role of Gata3 in the Development and Maintenance of Serotonergic 
Neuron Identity "
132, ,Cellular and Molecular Neurobiology ,"P26.- Differences on the effect of proteins of the same tethering complex on 
neuronal polarity "
133," 
Vanesa Cadena",Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE "
134, Gerardo Rosciszewski,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE "
135, Alejandro Villarreal,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE "
136, Belén Cieri,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE "
137, Alberto Javier Ramos ,Cellular and Molecular Neurobiology ,"P27.-TREM-1/TREM-2 ROLE IN REACTIVE ASTROGLIAL POLARIZATION TO THE 
PROINFLAMMATORY PHENOTYPE "
138," 
Jorge Martín Caliva1",Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments "
139, Fernando Falkenburger Melleu2,Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments "
140, José Marino- Neto2,Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments "
141, Raúl Héctor Marín1,Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments "
142," Jackelyn 
Melissa Kembro1 ",Cellular and Molecular Neurobiology ,"P28.-Expression of aggressiveness modulate mesencephalic c-Fos activation 
during a social interaction test in Japanese quail (Coturnix coturnix) reared in 
enriched or plain environments "
143," 
Andrea N. Beltrán González",Cellular and Molecular Neurobiology ,"P29.-Characterization of the antagonistic actions of histamine on homomeric 
GABAAρ1 receptors "
144, Manuel I. López Pazos,Cellular and Molecular Neurobiology ,"P29.-Characterization of the antagonistic actions of histamine on homomeric 
GABAAρ1 receptors "
145, Daniel J. Calvo ,Cellular and Molecular Neurobiology ,"P29.-Characterization of the antagonistic actions of histamine on homomeric 
GABAAρ1 receptors "
146," 
Tomás Roberto Carden",Cellular and Molecular Neurobiology ,P30.-Are transferrin pro-differentiating effects on neurons mediated by iron? 
147, María Julia Pérez,Cellular and Molecular Neurobiology ,P30.-Are transferrin pro-differentiating effects on neurons mediated by iron? 
148, Juana María Pasquini ,Cellular and Molecular Neurobiology ,P30.-Are transferrin pro-differentiating effects on neurons mediated by iron? 
149," 
Lila Carniglia",Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
150, Julieta Saba,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
151, Delia Ramírez,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
152, Juan Turati,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
153, Federico López Couselo,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
154, Carla Caruso,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
155," Daniela 
Durand",Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
156, Mercedes Lasaga ,Cellular and Molecular Neurobiology ,"P31.-Alpha-MSH modulates hippocampal neural precursor cell proliferation 
and differentiation "
157,Presenting author: Clara Castañares,Cellular and Molecular Neurobiology ,"P32.-MAG as a therapeutic target for neurodegenerative diseases related to 
glutamate overload 
 
Clara Nicole Castañares1, Ana Laura Vivinetto1, Cristian Roman Bacaglio1, Bárbara Beatriz Baez1, Pablo 
Hector Horacio Lopez1,2 
 
1 Instituto de Investigación Médica Mercedes y Martín Ferreyra, 2 Facultad de Psicología "
158," clari.nicole12@gmail.com 
_________________________________________________________________________________________ ",Cellular and Molecular Neurobiology ,"P32.-MAG as a therapeutic target for neurodegenerative diseases related to 
glutamate overload 
 
Clara Nicole Castañares1, Ana Laura Vivinetto1, Cristian Roman Bacaglio1, Bárbara Beatriz Baez1, Pablo 
Hector Horacio Lopez1,2 
 
1 Instituto de Investigación Médica Mercedes y Martín Ferreyra, 2 Facultad de Psicología "
159, ,Cellular and Molecular Neurobiology ," 
P33.-Studying synaptic transmission at the level of individual synaptic vesicles 
 
Natali L. Chanaday R., Ege T. Kavalali 
 
Department of Neuroscience, UT SOuthwestern Medical Center, Dallas, TX (US)  "
160," 
Santiago Elías Charif1",Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
161, María Cotarelo2,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
162,3,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
163, Luciana Luchelli1,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
164, Alejandro Colman-Lerner2,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
165,3,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
166," Matías 
Blaustein2",Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
167,3,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
168, Lionel Muller Igaz1 ,Cellular and Molecular Neurobiology ," 
P34.-Altered brain global translation in TDP-43 transgenic mice: evidence from 
polysome profiling and SUNSET method "
