,autor,tema,poster
63, Luis Rodriguez1,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism 
64, Silvia Lores Arnaiz2,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism 
65," Juanita 
Bustamante1 ",Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism 
66,Felipe I. Aguayo1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
67, Wladimir A. Corrales1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
68, Gabriela Díaz-Véliz2,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
69, Juan Pablo Silva1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
70," 
Felipe A. Olave1",Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
71, Luciano Román-Albasini1,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
72, Jhon A. Cidlowski3,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
73, Jenny L. Fiedler1 ,Cellular and Molecular Neurobiology ,"P13.-Early and long-term effects of stress in male dorsal 
hippocampus: miRNAomics and behavioral relationship "
74,Julieta Paola Aguggia1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
75, María Paula Cornejo1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
76, Franco Barrile1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
77, Mirta Reynaldo1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
78," 
Guadalupe García Romero1",Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
79, Daniela Cassano1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
80, Pablo Nicolás De Francesco1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
81," 
Gimena Fernandez1",Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
82, Maia Uriarte Donati1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
83, Spring Valdivia1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
84, María José Tolosa1,Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
85," 
Mario Perello1 ",Cellular and Molecular Neurobiology ,"P14.-Ghrelin system regulates neurons of the 
supramammillary nucleus "
86,Carolina D. Alberca1,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment "
87, Ligia A. Papale3,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment "
88, Andy Madrid4,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment "
89, Reid S. Alisch3,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment "
90," Eduardo T. 
Cánepa2",Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment "
91, Mariela Chertoff2 ,Cellular and Molecular Neurobiology ,"P15.-Perinatal protein malnutrition results in genome-wide 
disruptions in hippocampal 5-hydroxymethylcytosine at 
regions that can be rescued by an enriched environment "
92,Leandro G. Allende1,Cellular and Molecular Neurobiology ,"P16.-Cholesterol recycling is altered during aging in nervous 
system cells "
93, María Florencia Harman1,Cellular and Molecular Neurobiology ,"P16.-Cholesterol recycling is altered during aging in nervous 
system cells "
94, Mauricio G. Martin1 ,Cellular and Molecular Neurobiology ,"P16.-Cholesterol recycling is altered during aging in nervous 
system cells "
95,María Soledad Anesetti Nelli1,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
96, Hernán Hauche1,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
97, María Alejandra Bernardi2,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
98," Pedro 
Lorenzo Ballestero1",Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
99, Mariana Ferrario3,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
100, Marcela Schenk3,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
101, Sandra Guerrero3,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
102," 
Melina Paula Bordone1",Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
103, Juan Esteban Ferrario1 ,Cellular and Molecular Neurobiology ,"P17.-First insights into cell signaling modulation in neuronal 
SH-SY5Y cells induced by Yerba Mate. "
104,Cristian Roman Bacaglio1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
105, Andres Berardo1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
106, Barbara beatriz Baez1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
107," Ana Laura 
Vivinetto1",Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
108, Mara Soledad Matalloni1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
109, Clara Nicole Castañares1,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
110, Khazim Sheikh2,Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
111," 
Pablo H.H. Lopez1 ",Cellular and Molecular Neurobiology ,"P18.-Novel molecular mechanisms associated with impaired 
peripheral nerve repair mediated by anti-ganglioside 
antibodies "
112,Bárbara Beatriz Báez1,Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration "
113, Cristian Bacaglio1,Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration "
114, Ronald Schnaar1,Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration "
115," Pablo Héctor Horacio 
Lopez1 ",Cellular and Molecular Neurobiology ," 
P19.-TNFR1a as a transducer molecule for the inhibitory effect 
of anti-ganglioside antibodies on axon regeneration "
116,Raquel Becerra1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
117, Sebastián Giusti1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
118, Ivana Linenberg1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
119, Jerónimo Lukin1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
120," Florencia 
Merino1",Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
121, Giuliana Di Mauro1,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
122, Fernando Stefani2,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
123, Damián Refojo1 ,Cellular and Molecular Neurobiology ,"P20.-The neddylation pathway modulates cytoskeletal actin 
dynamics altering neuronal development "
124,Maria Mercedes Benedetto1,Cellular and Molecular Neurobiology ,"P21.-REDOX IMBALANCE IN RETINAL DEGENERATION 
PROMOTED BY CONSTANT LIGH EXPOSURE "
125, Manuel Gastón Bruera1,Cellular and Molecular Neurobiology ,"P21.-REDOX IMBALANCE IN RETINAL DEGENERATION 
PROMOTED BY CONSTANT LIGH EXPOSURE "
126, Maria Ana Contin1 ,Cellular and Molecular Neurobiology ,"P21.-REDOX IMBALANCE IN RETINAL DEGENERATION 
PROMOTED BY CONSTANT LIGH EXPOSURE "
127,Valeria Berkowicz1,Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
128, Sonia DoCarmo2,Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
129, Veronica Baez1,Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
130, Martin Habif1,Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
131," Magali 
Cercato1",Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
132, A. Claudio Cuello2,Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
133, Edgar Kornisiuk1,Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
134, Diana Jerusalinsky1 ,Cellular and Molecular Neurobiology ,"P22.-Cognitive impairement and changes in hippocampal 
plasticity genes in the transgenic McGill-R-Thy1-APP rat model 
of Alzheimer´s disease "
135,Magdalena Antonino1,Cellular and Molecular Neurobiology ,"P23.-APP/Go signaling modulates the interaction between  
APP and BACE1 "
136, Paula Marmo1,Cellular and Molecular Neurobiology ,"P23.-APP/Go signaling modulates the interaction between  
APP and BACE1 "
137, Alfredo Lorenzo1,Cellular and Molecular Neurobiology ,"P23.-APP/Go signaling modulates the interaction between  
APP and BACE1 "
138, Anahi Bignante1 ,Cellular and Molecular Neurobiology ,"P23.-APP/Go signaling modulates the interaction between  
APP and BACE1 "
139,María Guillermina Bilbao1,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
140,2,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
141, Daniel Garrigós3,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
142,4,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
143, José Angel Toval3,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
144,4,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
145," Yevheny 
Kutsenko3",Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
146,4,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
147, Rosario Bautista3,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
148,4,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
149, Alberto Barreda3,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
150,4,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
151, Luis Puelles3,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
152,4,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
153," José Luis 
Ferrán3",Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
154,4 ,Cellular and Molecular Neurobiology ,"P24.-LOCALIZATION OF THE TYROSINE HYDROXILASE 
POSITIVE CELLS WITH THE PROSOMERIC MODEL IN 
HYPOTHALAMUS OF POSTNATAL RATS "
155,C. Gaston Bisig1,Cellular and Molecular Neurobiology ,"P25.-GM1-pentasaccharide (osGM1) prevents damage on 
dopaminergic system in a mouse model of Parkinson’s 
disease "
156, Yanina Ditamo1,Cellular and Molecular Neurobiology ,"P25.-GM1-pentasaccharide (osGM1) prevents damage on 
dopaminergic system in a mouse model of Parkinson’s 
disease "
157, Macarena Rodriguez-Walker1,Cellular and Molecular Neurobiology ,"P25.-GM1-pentasaccharide (osGM1) prevents damage on 
dopaminergic system in a mouse model of Parkinson’s 
disease "
158, Gimena Farias1,Cellular and Molecular Neurobiology ,"P25.-GM1-pentasaccharide (osGM1) prevents damage on 
dopaminergic system in a mouse model of Parkinson’s 
disease "
159," 
Pablo Rodriguez2 ",Cellular and Molecular Neurobiology ,"P25.-GM1-pentasaccharide (osGM1) prevents damage on 
dopaminergic system in a mouse model of Parkinson’s 
disease "
160,María Gabriela Blanco1,Cellular and Molecular Neurobiology ,"P26.-Serotonin (5-HT) and catecholamines (CA) coordinates 
antagonistic food-related behaviors in C. elegans. "
161, María José De Rosa1,Cellular and Molecular Neurobiology ,"P26.-Serotonin (5-HT) and catecholamines (CA) coordinates 
antagonistic food-related behaviors in C. elegans. "
162, Diego Rayes1 ,Cellular and Molecular Neurobiology ,"P26.-Serotonin (5-HT) and catecholamines (CA) coordinates 
antagonistic food-related behaviors in C. elegans. "
163,Helga M. Blanco1,Cellular and Molecular Neurobiology ,"P27.-Tyrphostin AG879 and c-Src inhibitors reduced neurite 
outgrowth induced by stimulation of Ang II AT2 receptors in 
SH-SY5Y neuroblastoma cells. "
164, Claudia Banchio2,Cellular and Molecular Neurobiology ,"P27.-Tyrphostin AG879 and c-Src inhibitors reduced neurite 
outgrowth induced by stimulation of Ang II AT2 receptors in 
SH-SY5Y neuroblastoma cells. "
165, Sergio E. Alvarez1,Cellular and Molecular Neurobiology ,"P27.-Tyrphostin AG879 and c-Src inhibitors reduced neurite 
outgrowth induced by stimulation of Ang II AT2 receptors in 
SH-SY5Y neuroblastoma cells. "
166, Gladys M. Ciuffo1 ,Cellular and Molecular Neurobiology ,"P27.-Tyrphostin AG879 and c-Src inhibitors reduced neurite 
outgrowth induced by stimulation of Ang II AT2 receptors in 
SH-SY5Y neuroblastoma cells. "
167,M. Julieta Boezio1,Cellular and Molecular Neurobiology ,"P28.-Impact of Val66Met polymorphism in the brain-derived 
neurotrophic factor (BDNF) gene in the vulnerability to cocaine 
addiction induced by chronic stress "
168, Daiana Rigoni1,Cellular and Molecular Neurobiology ,"P28.-Impact of Val66Met polymorphism in the brain-derived 
neurotrophic factor (BDNF) gene in the vulnerability to cocaine 
addiction induced by chronic stress "
169, Liliana M. Cancela1,Cellular and Molecular Neurobiology ,"P28.-Impact of Val66Met polymorphism in the brain-derived 
neurotrophic factor (BDNF) gene in the vulnerability to cocaine 
addiction induced by chronic stress "
170, Agustín Anastasia2,Cellular and Molecular Neurobiology ,"P28.-Impact of Val66Met polymorphism in the brain-derived 
neurotrophic factor (BDNF) gene in the vulnerability to cocaine 
addiction induced by chronic stress "
171," Flavia 
Bollati1 ",Cellular and Molecular Neurobiology ,"P28.-Impact of Val66Met polymorphism in the brain-derived 
neurotrophic factor (BDNF) gene in the vulnerability to cocaine 
addiction induced by chronic stress "
172,Emmanuel E Bortolotto1,Cellular and Molecular Neurobiology ,"P29.-Heterogeneity of effects of antipsychotic drugs on 
voltage-gated calcium channels type 2 (CaV2.2) currents "
173, Clara I McCarthy1,Cellular and Molecular Neurobiology ,"P29.-Heterogeneity of effects of antipsychotic drugs on 
voltage-gated calcium channels type 2 (CaV2.2) currents "
174, Santiago Cordisco Gonzalez1,Cellular and Molecular Neurobiology ,"P29.-Heterogeneity of effects of antipsychotic drugs on 
voltage-gated calcium channels type 2 (CaV2.2) currents "
175," Román 
E Mustafá1",Cellular and Molecular Neurobiology ,"P29.-Heterogeneity of effects of antipsychotic drugs on 
voltage-gated calcium channels type 2 (CaV2.2) currents "
