,score,match,messy,original,id,index,Partial Token Set,Partial Ratio,Token Sort,WRatio,Score Average
31,1.01,mariana bendersky,"mariana 
benderky"," Mariana 
Benderky1",47815,47812,100,94,97,94,95.0
32,0.0,silvia oddo,silvia oddo, Silvia Oddo1 ,94768,94762,100,100,100,100,100.0
33,1.0,ana mercedes patricia merlo,, ,35296,35294,0,0,0,0,0.0
34,0.0,maria florencia acutain,maria florencia acutain," 
Maria Florencia Acutain1",57981,57978,100,100,100,100,100.0
35,0.0,cecilia vazquez,cecilia vazquez, Cecilia Vazquez1,33242,33240,100,100,100,100,100.0
36,0.78,marcela salvetti,anna salvetti, Anna Salvetti3,83468,83464,100,77,76,76,76.333
37,0.0,diana alicia jerusalinsky,diana alicia jerusalinsky, Diana Alicia Jerusalinsky1,9932,9931,100,100,100,100,100.0
38,0.0,maria veronica baez,"maria veronica 
baez"," Maria Veronica 
Baez1 ",4509,4508,100,95,100,97,97.333
39,0.0,carolina desiree alberca doto,carolina desiree alberca doto," 
Carolina Desirée Alberca Doto1",21391,21390,100,100,100,100,100.0
40,0.0,eduardo canepa,eduardo canepa,  Eduardo Cánepa2,1495,1494,100,100,100,100,100.0
41,0.81,mariela sandra juana chertoff,mariela chertoff, Mariela Chertoff2 ,22060,22059,100,69,71,86,75.333
42,0.64,leandro galli,leandro g. allende," 
Leandro G. Allende",57520,57517,100,85,73,77,78.333
43,1.06,maria florencia harman,maria f. harman, Maria F. Harman,26918,26917,100,67,78,87,77.333
44,0.77,mauricio martin,mauricio g. martin, Mauricio G. Martin ,57199,57196,100,80,94,95,89.667
45,0.51,juan ignacio alonso,ignacio alonso," 
Ignacio Alonso",10214,10213,100,100,85,95,93.333
46,0.89,agustin sanchez moreno,agustin sanchez merlinsy, Agustín Sanchez Merlinsy,177308,122438,100,86,83,83,84.0
47,0.0,lidia szczupak,lidia szczupak, Lidia Szczupak ,20034,20033,100,100,100,100,100.0
48,0.0,sofia elisa alzuri,sofia elisa alzuri," 
Sofia Elisa Alzuri1",172371,117681,100,100,100,100,100.0
49,1.06,laura eugenia hlavacka,daniela hlavacova, Daniela Hlavacova2,43838,43835,65,67,56,62,61.667
50,1.12,natasha schvezov,natasa jezova, Natasa Jezova2,80500,80496,38,62,41,76,59.667
51,0.0,beata fuchsova,beata fuchsova, Beata Fuchsova1 ,1163,1162,100,100,100,100,100.0
52,0.8,natalia denise andersen,natalia andersen," 
Natalia Andersen",8958,8957,100,75,82,95,84.0
53,0.79,facundo arias,facundo aletto, Facundo Aletto,93886,93880,100,69,67,67,67.667
54,0.0,maria jose de rosa,maria jose de rosa, María José De Rosa,17098,17097,100,100,100,100,100.0
55,0.0,diego rayes,diego rayes, Diego Rayes ,17993,17992,100,100,100,100,100.0
56,0.0,magdalena antonino,magdalena antonino," 
Magdalena Antonino1",171846,117171,100,100,100,100,100.0
57,0.56,mariana musso,juliana musso, Juliana Musso1,121833,105081,100,77,77,77,77.0
58,0.77,alfredo guillermo lorenzo,alfredo lorenzo, Alfredo Lorenzo1,9240,9239,100,73,75,86,78.0
59,0.47,elena anahi bignante,anahi bignante, Anahi Bignante1,18454,18453,100,100,82,95,92.333
60,1.0,ana mercedes patricia merlo,,3 ,35296,35294,0,0,0,0,0.0
61,0.0,gabriela ines aparicio,gabriela ines aparicio," 
Gabriela Inés Aparicio",74984,74980,100,100,100,100,100.0
62,0.0,antonella leon,antonella leon, Antonella León,130615,113862,100,100,100,100,100.0
63,0.94,alberto carlos frasch,alberto c. c. frasch, Alberto C. C. Frasch,18732,18731,100,75,82,88,81.667
64,0.0,camila scorticati,camila scorticati, Camila Scorticati ,1589,1588,100,100,100,100,100.0
65,0.75,sergio gonzalo benitez,sergio benitez, Sergio Benitez1,59997,59994,100,64,78,86,76.0
66,0.83,gladys susana valdez,susana valdez, Susana Valdez2,86542,86538,100,100,79,90,89.667
67,0.69,alicia mabel seltzer,alicia seltzer, Alicia Seltzer1 ,43933,43930,100,71,82,95,82.667
68,0.67,cristian roman bacaglio,cristian r bacaglio," 
Cristian R Bacaglio1",48760,48757,100,79,90,90,86.333
69,0.0,andres berardo,andres berardo, Andres Berardo1,60342,60339,100,100,100,100,100.0
70,0.85,barbara beatriz baez,barbara b. baez, Bárbara B. Báez1,25887,25886,100,73,71,87,77.0
71,0.64,ana vivinetto,ana l. vivinetto, Ana L. Vivinetto1,60274,60271,100,77,93,95,88.333
72,0.99,mara soledad mattalloni,mara s. matalloni, Mara S. Matalloni1,18417,18416,100,65,82,80,75.667
73,1.02,pablo lopez,"pablo h. h. 
lopez"," Pablo H. H. 
López1",76741,76737,100,55,85,86,75.333
74,1.02,pablo lopez,pablo h. h. lopez, Pablo H. H. López2 ,76741,76737,100,55,85,86,75.333
75,0.82,luis alejandro ballesteros,pedro ballestero," 
Pedro Ballestero1",45449,45446,69,88,52,79,73.0
76,0.44,maria alejandra bernardi,alejandra bernardi, Alejandra Bernardi1,59110,59107,100,100,86,95,93.667
77,0.48,ana ferrari,mariana ferrario, Mariana Ferrario3,3063,3062,45,100,52,81,77.667
78,0.67,marcela liliana schenk,marcela schenk, Marcela Schenk3,22536,22535,100,64,78,86,76.0
79,0.97,irene rita eloisa taravini,irene taravini, Irene Taravini4,17421,17420,100,71,70,86,75.667
80,0.8,oscar samuel gershanik,"oscar 
gershanik"," Oscar 
Gershanik1",879,878,100,75,81,95,83.667
81,0.0,sandra guerrero,sandra guerrero, Sandra Guerrero3,18993,18992,100,100,100,100,100.0
82,0.82,vanina muraro,nara muraro*, Nara Muraro2*,44765,44762,100,78,75,75,76.0
83,0.68,juan esteban ferrario,juan ferrario*, Juan Ferrario1* ,22571,22570,100,81,76,86,81.0
84,0.94,pablo barcelona,presenting author: pablo barcelona,Presenting author: Pablo Barcelona,57728,57725,100,100,62,90,84.0
85,1.16,pablo barcelona,"pbarcelona@fcq.unc.edu.ar 
_________________________________________________________________________________________"," pbarcelona@fcq.unc.edu.ar 
_________________________________________________________________________________________ ",57728,57725,71,67,15,61,47.667
86,0.0,maria lucia bartolomeu,maria lucia bartolomeu," 
María Lucía Bartolomeu",79944,79940,100,100,100,100,100.0
87,0.8,abel luis carcagno,abel carcagno, Abel Carcagno,22246,22245,100,77,84,95,85.333
88,0.0,daniela di bella,daniela di bella, Daniela Di Bella,15728,15727,100,100,100,100,100.0
89,1.11,nicole selleski,nicole siegel, Nicole Siegel,179435,124471,100,77,71,71,73.0
90,0.0,guillermo lanuza,guillermo lanuza, Guillermo Lanuza ,3123,3122,100,100,100,100,100.0
91,0.81,juan manuel becerra,raquel becerra," 
Raquel Becerra1",175976,121155,100,86,73,73,77.333
92,1.08,liza nannetti,annette vogl, Annette Vogl2,178983,124034,55,55,48,48,50.333
93,0.0,sebastian giusti,sebastian giusti, Sebastián Giusti1,6500,6499,100,100,100,100,100.0
94,0.0,florencia merino,florencia merino, Florencia Merino1,81874,81870,100,100,100,100,100.0
95,0.62,ivana marcela linenberg,ivana linenberg, Ivana Linenberg1,59040,59037,100,73,79,86,79.333
96,0.0,jeronimo lukin,jeronimo lukin, Jeronimo Lukin1,77180,77176,100,100,100,100,100.0
97,0.89,ana maria bordenave,matin bordenave," 
Matín Bordenave3",129573,112821,100,87,76,76,79.667
98,0.0,fernando stefani,fernando stefani, Fernando Stefani3,6136,6135,100,100,100,100,100.0
99,0.0,damian refojo,damian refojo, Damián Refojo1 ,14545,14544,100,100,100,100,100.0
100,0.0,maria mercedes benedetto,maria mercedes benedetto," 
Maria Mercedes Benedetto",65168,65164,100,100,100,100,100.0
101,0.0,maria ana contin,maria ana contin, Maria Ana Contin ,5869,5868,100,100,100,100,100.0
102,0.0,mariano bisbal,mariano bisbal," 
Mariano Bisbal1",2646,2645,100,100,100,100,100.0
103,0.71,leticia peralta,leticia peris, Leticia Peris2,33576,33574,100,85,79,79,81.0
104,0.9,maria jose hernandez ross,jose hernandez-martinez, Jose Hernandez-Martinez3,58429,58426,100,71,79,75,75.0
105,0.95,eric demian speranza,eric denarier, Eric Denarier1,4497,4496,100,62,48,86,65.333
106,0.92,christopher brian anderson,christophe bosc, Christophe Bosc1,6430,6429,73,80,59,72,70.333
107,0.84,michelle arnal,"isabelle 
arnal"," Isabelle 
Arnal1",5035,5034,100,71,79,76,75.333
108,1.08,ignacio martin buioli,alain buisson, Alain Buisson1,31860,31858,38,64,35,58,52.333
109,1.09,domin choi,laurent blanchoin, Laurent Blanchoin1,31630,31628,50,50,44,45,46.333
110,0.96,christian de ronde,christian delphin, Christian Delphin1,12895,12894,100,76,74,74,74.667
111,1.11,odile glorieux,annie andrieux, Annie Andrieux1 ,82099,82095,57,57,57,57,57.0
112,0.0,maria gabriela blanco,maria gabriela blanco," 
María Gabriela Blanco1",38355,38353,100,100,100,100,100.0
113,0.82,sebastian giusti,sebastian giunti, Sebastian Giunti1,6500,6499,100,94,94,94,94.0
114,0.0,diego rayes,diego rayes, Diego Rayes1,17993,17992,100,100,100,100,100.0
115,0.0,maria jose de rosa,maria jose de rosa, María José De Rosa1,17098,17097,100,100,100,100,100.0
116,1.0,ana mercedes patricia merlo,,2 ,35296,35294,0,0,0,0,0.0
117,0.85,laura vanesa bonnet,laura v. bonnet," 
Laura V. Bonnet",60923,60920,100,67,85,87,79.667
118,0.63,jesica belen flores martin,jesica b. flores-martin, Jesica B. Flores-Martin,27883,27881,100,78,92,90,86.667
119,0.0,anabela palandri,anabela palandri, Anabela Palandri,109073,101563,100,100,100,100,100.0
120,0.89,marta elena hallak,marta e. hallak, Marta E. Hallak,18595,18594,100,73,88,87,82.667
121,0.77,mauricio raul galiano,mauricio r. galiano, Mauricio R. Galiano ,22843,22842,100,84,92,90,88.667
122,0.0,luciano ariel brum,luciano ariel brum," 
Luciano Ariel Brum",22062,22061,100,100,100,100,100.0
123,0.0,santiago olszevicki,santiago olszevicki, Santiago Olszevicki,61246,61243,100,100,100,100,100.0
124,0.46,maria vanesa cadena,vanesa cadena," 
Vanesa Cadena",13311,13310,100,100,81,95,92.0
125,0.54,gerardo ariel rosciszewski,gerardo rosciszewski, Gerardo Rosciszewski,61398,61395,100,75,87,95,85.667
126,0.0,alejandro villarreal,alejandro villarreal, Alejandro Villarreal,38282,38280,100,100,100,100,100.0
127,0.51,maria belen cieri,belen cieri, Belén Cieri,80403,80399,100,100,79,90,89.667
128,0.0,alberto javier ramos,alberto javier ramos, Alberto Javier Ramos ,12124,12123,100,100,100,100,100.0
129,0.0,jorge martin caliva,jorge martin caliva," 
Jorge Martín Caliva1",23150,23149,100,100,100,100,100.0
130,1.13,fernando fabris,fernando falkenburger melleu, Fernando Falkenburger Melleu2,145083,114879,100,73,60,86,73.0
131,0.97,jose magarinos,jose marino- neto, José Marino- Neto2,20392,20391,100,79,73,71,74.333
132,0.0,raul hector marin,raul hector marin, Raúl Héctor Marín1,3196,3195,100,100,100,100,100.0
133,0.0,jackelyn melissa kembro,"jackelyn 
melissa kembro"," Jackelyn 
Melissa Kembro1 ",12389,12388,100,96,100,98,98.0
134,0.63,andrea natalia beltran gonzalez,andrea n. beltran gonzalez," 
Andrea N. Beltrán González",25365,25364,100,77,89,91,85.667
135,0.99,manuel lopez,manuel i. lopez pazos, Manuel I. López Pazos,74848,74844,100,75,75,86,78.667
136,0.89,daniel juan calvo,daniel j. calvo, Daniel J. Calvo ,19687,19686,100,80,90,88,86.0
137,0.0,tomas roberto carden,tomas roberto carden," 
Tomás Roberto Carden",9143,9142,100,100,100,100,100.0
138,0.0,maria julia perez,maria julia perez, María Julia Pérez,9812,9811,100,100,100,100,100.0
139,0.0,juana maria pasquini,juana maria pasquini, Juana María Pasquini ,7836,7835,100,100,100,100,100.0
140,0.0,lila carniglia,lila carniglia," 
Lila Carniglia",20435,20434,100,100,100,100,100.0
141,0.0,julieta saba,julieta saba, Julieta Saba,20755,20754,100,100,100,100,100.0
142,0.0,delia ramirez,delia ramirez, Delia Ramírez,14349,14348,100,100,100,100,100.0
143,0.0,juan turati,juan turati, Juan Turati,93839,93833,100,100,100,100,100.0
144,0.0,federico lopez couselo,federico lopez couselo, Federico López Couselo,171594,116924,100,100,100,100,100.0
145,0.61,carla mariana caruso,carla caruso, Carla Caruso,2875,2874,100,75,75,86,78.667
146,0.81,maria gabriela duran,"daniela 
durand"," Daniela 
Durand",46915,46912,59,79,59,63,67.0
147,0.0,mercedes lasaga,mercedes lasaga, Mercedes Lasaga ,8872,8871,100,100,100,100,100.0
148,1.08,mariana castanares,presenting author: clara castanares,Presenting author: Clara Castañares,28126,28124,100,78,58,86,74.0
149,1.13,maria carolina stegman,"clari.nicole@gmail.com 
_________________________________________________________________________________________"," clari.nicole12@gmail.com 
_________________________________________________________________________________________ ",90012,90008,50,45,16,45,35.333
150,0.0,santiago elias charif,santiago elias charif," 
Santiago Elías Charif1",11622,11621,100,100,100,100,100.0
151,0.62,victoria cotarelo,maria cotarelo, María Cotarelo2,126879,110127,100,86,77,77,80.0
152,1.0,ana mercedes patricia merlo,,3,35296,35294,0,0,0,0,0.0
153,0.0,luciana luchelli,luciana luchelli, Luciana Luchelli1,58913,58910,100,100,100,100,100.0
154,0.0,alejandro colman lerner,alejandro colman-lerner, Alejandro Colman-Lerner2,6347,6346,100,96,100,100,98.667
155,0.81,matias blaustein kappelmacher,"matias 
blaustein"," Matías 
Blaustein2",19810,19809,100,94,71,86,83.667
156,0.72,lionel ivan muller igaz,lionel muller igaz, Lionel Muller Igaz1 ,11905,11904,100,83,88,95,88.667
157,0.0,octavio gianatiempo,octavio gianatiempo," 
Octavio Gianatiempo1",61337,61334,100,100,100,100,100.0
158,0.75,carolina nadal,carolina dalberca, Carolina DAlberca2,63713,63710,100,86,77,77,80.0
159,0.0,oscar filevich,oscar filevich, Oscar Filevich3,10517,10516,100,100,100,100,100.0
160,0.83,eduardo canepa,eduardo t canepa, Eduardo T Cánepa1,1495,1494,100,86,93,95,91.333
161,0.81,mariela sandra juana chertoff,mariela chertoff, Mariela Chertoff1 ,22060,22059,100,69,71,86,75.333
162,1.15,maria camacho,cambria chou-freed," 
Cambria Chou-Freed",57245,57242,62,62,58,55,58.333
163,0.0,clara ines mccarthy,clara ines mccarthy, Clara Inés McCarthy,90249,90245,100,100,100,100,100.0
164,0.0,silvia susana rodriguez,silvia susana rodriguez, Silvia Susana Rodríguez,3434,3433,100,100,100,100,100.0
165,0.0,jesica raingo,jesica raingo, Jesica Raingo ,6194,6193,100,100,100,100,100.0
166,0.0,maria belen cieri,maria belen cieri," 
María Belén Cieri",80403,80399,100,100,100,100,100.0
167,0.0,veronica murta,veronica murta, Verónica Murta,28810,28808,100,100,100,100,100.0
168,0.46,maria vanesa cadena,vanesa cadena, Vanesa Cadena,13311,13310,100,100,81,95,92.0
169,0.65,gerardo ariel rosciszewski,rosciszewski gerardo, Rosciszewski Gerardo,61398,61395,100,62,87,95,81.333
170,0.59,alejandro villarreal,villarreal alejandro, Villarreal Alejandro,38282,38280,100,50,100,95,81.667
171,0.0,alberto javier ramos,"alberto 
javier ramos"," Alberto 
Javier Ramos ",12124,12123,100,95,100,98,97.667
172,0.0,maria elena arce,maria elena arce," 
María Elena Arce",16717,16716,100,100,100,100,100.0
173,0.88,juan manuel bruno,manuel bruera, Manuel Bruera,50420,50417,100,80,73,69,74.0
174,0.0,susana ines sanchez,susana ines sanchez, Susana Inés Sánchez,38248,38246,100,100,100,100,100.0
175,0.0,gladys maria ciuffo,gladys maria ciuffo, Gladys María Ciuffo ,51472,51469,100,100,100,100,100.0
176,0.88,juan manuel bruno,manuel bruera," 
Manuel Bruera",50420,50417,100,80,73,69,74.0
177,0.0,maria elena arce,maria elena arce, María Elena Arce,16717,16716,100,100,100,100,100.0
178,0.0,santiago cordisco gonzalez,santiago cordisco gonzalez," 
Santiago Cordisco Gonzalez",59357,59354,100,100,100,100,100.0
179,0.0,emilio roman mustafa,emilio roman mustafa, Emilio Román Mustafá,59837,59834,100,100,100,100,100.0
180,0.0,ana paula de vincenti,ana paula de vincenti," 
Ana Paula De Vincenti",62026,62023,100,100,100,100,100.0
181,0.0,fernando cruz alsina,fernando cruz alsina, Fernando Cruz Alsina,55990,55987,100,100,100,100,100.0
182,0.0,antonella soledad rios,antonella soledad rios, Antonella Soledad Rios,55295,55292,100,100,100,100,100.0
183,0.0,fernanda ledda,fernanda ledda, Fernanda Ledda,13463,13462,100,100,100,100,100.0
184,0.0,gustavo paratcha,gustavo paratcha, Gustavo Paratcha ,11041,11040,100,100,100,100,100.0
185,0.9,luciana delgado,susana delgado-ocana," 
Susana Delgado-Ocaña1",17601,17600,100,80,69,69,72.667
186,0.0,nazareno gonzalez,nazareno gonzalez, Nazareno Gonzalez1,8228,8227,100,100,100,100,100.0
187,1.05,ana ximena kiguen,inaki gentile, Iñaki Gentile1,3309,3308,54,62,47,53,54.0
188,0.9,hugo alejandro garro,hugo garro, Hugo Garro1,25281,25280,100,70,67,86,74.333
189,1.03,daniela schiavinato,daniela schibich, Daniela Schibich1,77086,77082,100,81,74,74,76.333
190,0.0,maria eugenia chesta,"maria 
eugenia chesta"," María 
Eugenia Chesta2",80645,80641,100,95,100,98,97.667
191,0.6,mauricio ariel menacho marquez,mauricio menacho-marquez, Mauricio Menacho-Márquez1,21162,21161,100,75,89,95,86.333
192,0.0,claudio oscar fernandez,claudio oscar fernandez, Claudio Oscar Fernández1 ,791,790,100,100,100,100,100.0
193,0.0,giuliana constanza di mauro,giuliana constanza di mauro," 
Giuliana Constanza Di Mauro1",74217,74213,100,100,100,100,100.0
194,0.98,analia ambrosi,bruno di ambrosi, Bruno Di Ambrosi2,82413,82409,100,71,67,67,68.333
195,0.0,osvaldo daniel uchitel,osvaldo daniel uchitel, Osvaldo Daniel Uchitel1,10705,10704,100,100,100,100,100.0
196,0.51,mazzone graciela lujan,graciela lujan mazzone, Graciela Luján Mazzone3 ,21675,21674,100,64,100,95,86.333
197,0.0,maria julieta rudi,maria julieta rudi," 
María Julieta Rudi1",174002,119255,100,100,100,100,100.0
198,0.0,juan turati,juan turati, Juan Turati1,93839,93833,100,100,100,100,100.0
199,0.0,delia ramirez,delia ramirez, Delia Ramírez1,14349,14348,100,100,100,100,100.0
200,0.0,lila carniglia,lila carniglia, Lila Carniglia1,20435,20434,100,100,100,100,100.0
201,0.0,julieta saba,julieta saba, Julieta Saba1,20755,20754,100,100,100,100,100.0
202,0.61,carla mariana caruso,carla caruso, Carla Caruso1,2875,2874,100,75,75,86,78.667
203,0.0,juan beauquis,"juan 
beauquis"," Juan 
Beauquis2",3047,3046,100,92,100,96,96.0
204,0.64,flavia eugenia saravia,flavia saravia, Flavia Saravia2,6038,6037,100,71,78,86,78.333
205,0.0,mercedes lasaga,mercedes lasaga, Mercedes Lasaga1,8872,8871,100,100,100,100,100.0
206,0.81,maria gabriela duran,daniela durand, Daniela Durand1 ,46915,46912,59,81,59,65,68.333
207,1.13,maria delfina montiel,setiembre delfina elorza," 
Setiembre Delfina Elorza",58950,58947,100,63,62,59,61.333
208,0.0,maria florencia harman,maria florencia harman, Maria Florencia Harman,26918,26917,100,100,100,100,100.0
209,0.8,mauricio gerardo landaida,mauricio gerardo martin, Mauricio Gerardo Martin ,173348,118627,100,83,79,79,80.333
210,0.0,constanza feliziani,constanza feliziani," 
Constanza Feliziani1",7655,7654,100,100,100,100,100.0
211,0.41,gonzalo quassollo,gonzalo quasollo, Gonzalo Quasollo1,8885,8884,100,94,97,97,96.0
212,1.06,deborah hadges,deborah holstein, Deborah Holstein2,2957,2956,100,71,67,67,68.333
213,1.12,gabriela canepa,adrienne paton, Adrienne Paton3,171945,117265,36,57,34,55,48.667
214,1.13,james schulte,james paton, James Paton3,59985,59982,100,55,58,59,57.333
215,1.15,alfredo leiter,"james 
lechleiter"," James 
Lechleiter2",93739,93734,57,57,60,58,58.333
216,0.0,mariana bollo,mariana bollo, Mariana Bollo1  ,5179,5178,100,100,100,100,100.0
217,0.0,macarena fernandez,macarena fernandez," 
Macarena Fernandez1",93216,93211,100,100,100,100,100.0
218,0.0,maria jose virgolini,maria jose virgolini, María José Virgolini2,30791,30789,100,100,100,100,100.0
219,0.0,mariana bollo,mariana bollo, Mariana Bollo1 ,5179,5178,100,100,100,100,100.0
220,0.73,facundo nahuel ferrero restelli,facundo ferrero restelli," 
Facundo Ferrero Restelli",25878,25877,100,79,87,95,87.0
221,0.0,paula fontanet,paula fontanet, Paula Fontanet,62009,62006,100,100,100,100,100.0
222,1.27,hector alejandro probicito,"p.-neuroprotective efect of the probiotic bacterium bacillus 
subtilis against parkinson's disease in caenorhabditis elegans","P49.-NEUROPROTECTIVE EFECT OF THE PROBIOTIC BACTERIUM BACILLUS 
SUBTILIS AGAINST PARKINSON´S DISEASE IN CAENORHABDITIS ELEGANS ",61122,61119,42,54,30,49,44.333
223,0.88,sofia galarreta,sofia gallino," 
Sofia Gallino1",125818,109066,100,69,64,64,65.667
224,0.68,paola viviana plazas,paola plazas, Paola Plazas2,2692,2691,100,75,75,86,78.667
225,0.96,santiago boffi,juan boffi, Juan Boffi1,21774,21773,100,70,67,67,68.0
226,0.0,ana belen elgoyhen,ana belen elgoyhen, Ana Belén Elgoyhen1 ,673,672,100,100,100,100,100.0
227,0.0,cintia romina gatti,cintia romina gatti," 
Cintia Romina Gatti",92311,92307,100,100,100,100,100.0
228,0.86,andres javier orqueda,andres orqueda, Andres Orqueda,57287,57284,100,71,80,86,79.0
229,0.0,maria florencia ogara,maria florencia ogara, Maria Florencia Ogara,73586,73582,100,100,100,100,100.0
230,0.7,tomas luis falzone,tomas falzone, Tomás Falzone ,5036,5035,100,69,84,95,82.667
231,0.85,guadalupe garcia,nahir guadalupe gazal," 
Nahir Guadalupe Gazal",120122,103370,100,84,70,70,74.667
232,0.0,mariano bisbal,mariano bisbal, Mariano Bisbal,2646,2645,100,100,100,100,100.0
233,0.64,agustin anastasia gonzalez,agustin anastasia, Agustín Anastasía ,35968,35966,100,100,79,90,89.667
234,0.0,laura ivonne gomez pinto,laura ivonne gomez pinto," 
Laura Ivonne Gómez Pinto",59594,59591,100,100,100,100,100.0
235,0.68,debora vanesa rodriguez,debora rodriguez, Debora Rodriguez,59952,59949,100,75,82,95,84.0
236,0.73,ana maria adamo,ana adamo, Ana Adamo,8029,8028,100,78,75,86,79.667
237,0.59,patricia andrea mathieu,patricia mathieu, Patricia Mathieu ,10799,10798,100,69,82,95,82.0
238,0.0,tomas gonzalez garello,tomas gonzalez garello," 
Tomás González Garello1",129738,112986,100,100,100,100,100.0
239,0.57,magali cecilia cercato,magali cercato, Magalí Cercato1,12118,12117,100,79,78,86,81.0
240,0.0,maria florencia acutain,maria florencia acutain, María Florencia Acutain1,57981,57978,100,100,100,100,100.0
241,0.77,alberto luis epstein,alberto epstein, Alberto Epstein3,10002,10001,100,67,86,95,82.667
242,0.76,sergio ferrari,sergio ferreira, Sergio Ferreira4,559,558,100,86,83,83,84.0
243,0.78,marcela salvetti,anna salvetti," 
Anna Salvetti2",83468,83464,100,77,76,76,76.333
244,0.0,maria veronica baez,maria veronica baez, María Verónica Baez1,4509,4508,100,100,100,100,100.0
245,0.0,diana alicia jerusalinsky,diana alicia jerusalinsky, Diana Alicia Jerusalinsky1 ,9932,9931,100,100,100,100,100.0
246,0.0,maria eugenia guitart,maria eugenia guitart," 
María Eugenia Guitart1",27431,27429,100,100,100,100,100.0
247,0.0,maria victoria rosato siri,maria victoria rosato- siri, María Victoria Rosato- Siri1,27438,27436,100,96,100,98,98.0
248,0.0,juana maria pasquini,juana maria pasquini, Juana María Pasquini1,7836,7835,100,100,100,100,100.0
249,0.75,pamela victoria martino adami,pamela v. martino adami, Pamela V. Martino Adami2,15702,15701,100,70,86,90,82.0
250,0.0,laura morelli,laura morelli," 
Laura Morelli2 ",2883,2882,100,100,100,100,100.0
251,0.0,larisa guttlein,larisa guttlein," 
Larisa Guttlein1",21144,21143,100,100,100,100,100.0
252,0.0,ana fabiola macchione,ana fabiola macchione, Ana Fabiola Macchione1,24325,24324,100,100,100,100,100.0
253,0.73,milagros mendez,milagros mendez ubach, Milagros Méndez Ubach3,25282,25281,100,100,83,95,92.667
254,0.0,juan carlos molina,juan carlos molina, Juan Carlos Molina1,19295,19294,100,100,100,100,100.0
255,0.84,abate paula,paula abate, Paula Abate2 ,19162,19161,100,45,100,95,80.0
256,0.91,clara ercilia hael,clara hael," 
Clara Hael1",162376,115836,100,80,71,86,79.0
