,tema,autor,titulo
49,Cellular and Molecular Neurobiology  ,D. Lorena Franco,Does ENA regulate SRF activity? a possible mechanism to 
50,Cellular and Molecular Neurobiology  , Mariana V. Hernandez,Does ENA regulate SRF activity? a possible mechanism to 
51,Cellular and Molecular Neurobiology  , M. Fernanda Ceriani  ,Does ENA regulate SRF activity? a possible mechanism to 
52,Cellular and Molecular Neurobiology  ,precursor protein (APP) in cell cultures M. Florencia Ghibaudo,
53,Cellular and Molecular Neurobiology  , M. Florencia Heredia,
54,Cellular and Molecular Neurobiology  , Pablo R. Helguera,
55,Cellular and Molecular Neurobiology  ,  Alfredo G. Lorenzo   ,
56,Cellular and Molecular Neurobiology  ,EXPERIMENTAL EPILEPSY MODEL E. Girardi,
57,Cellular and Molecular Neurobiology  ,  S. Senin,
58,Cellular and Molecular Neurobiology  , F. Silvestre,
59,Cellular and Molecular Neurobiology  , P. Schneider ,
60,Cellular and Molecular Neurobiology  ,the establishment of neuronal polarity Diego Grassi,
61,Cellular and Molecular Neurobiology  , Santiago Quiroga  ,
62, ,neuromuscular junction through in vivo electroporation. Juan Pablo Henriquez,
63, ,  Javier Espinoza,
64, , Jaime Teneb ,
65, , Daniel Sandoval,
66, , Jorge Ojeda  ,
67,Cellular and Molecular Neurobiology ,growth hormone secretagogue receptor type 1a (GHSR1a) activity Eduardo Javier Lopez Soto,
68,Cellular and Molecular Neurobiology , Francina Agosti,
69,Cellular and Molecular Neurobiology , María Florencia Isasa,
70,Cellular and Molecular Neurobiology , Silvia Rodriguez,
71,Cellular and Molecular Neurobiology , Mario Perelló,
72,Cellular and Molecular Neurobiology , Jesica Raingo  ,
73,Cellular and Molecular Neurobiology  ,dopamine D2 receptor gene Ramiro Lorenzo 2,
74,Cellular and Molecular Neurobiology  , Marcelo Rubinstein 1  ,
75,Cellular and Molecular Neurobiology  ,,Translational regulation at the synapses: dynamics of mRNA silencing foci upon synaptic stimuli. 
76,Cellular and Molecular Neurobiology  ,,Light modifies Sonic hedgehog protein profile 
77,Cellular and Molecular Neurobiology  ,Thomas Jovin 2,ALPHA- SYNUCLEIN AFFECTS RESPIRATORY CHAIN AND ITS INTERNALISATION COULD INVOLVE THE TRANSPORTER OF OUTER MEMBRANE 
78,Cellular and Molecular Neurobiology  , 3  ,ALPHA- SYNUCLEIN AFFECTS RESPIRATORY CHAIN AND ITS INTERNALISATION COULD INVOLVE THE TRANSPORTER OF OUTER MEMBRANE 
79,Cellular and Molecular Neurobiology  ,Iván Mestres,Brefeldin A ribosilation substrate (BARS) is involved in neuronal 
80,Cellular and Molecular Neurobiology  , Laura Gastaldi,Brefeldin A ribosilation substrate (BARS) is involved in neuronal 
81,Cellular and Molecular Neurobiology  , Cecilia Conde,Brefeldin A ribosilation substrate (BARS) is involved in neuronal 
82,Cellular and Molecular Neurobiology  , Alfredo Caceres  ,Brefeldin A ribosilation substrate (BARS) is involved in neuronal 
83,Cellular and Molecular Neurobiology  ,Franco Rafael Mir,GABAA RECEPTOR ACTIVATION ARE INVOLVED IN DIFFERENTIATION OF EMBRYONIC HYPOTHALAMIC NEURONS 
84,Cellular and Molecular Neurobiology  ,  María Julia Cambiasso  ,GABAA RECEPTOR ACTIVATION ARE INVOLVED IN DIFFERENTIATION OF EMBRYONIC HYPOTHALAMIC NEURONS 
85,Cellular and Molecular Neurobiology  ,,HIGHLY ENRICHED PRIMARY CULTURES OF CHICKEN RETINAL HORIZONTAL CELLS EXPRESS THE PHOTOPIGMENT MELANOPSIN X 
86,Cellular and Molecular Neurobiology  ,,Characterization of Frizzled receptors at the vertebrate neuromuscular synapse. 
87,Cellular and Molecular Neurobiology ,,Polarized insertion of IGF-1 receptor and cytoskeletal dynamics in neuronal polarity 
88,Cellular and Molecular Neurobiology ,Anabela Palandri 2,Myelin-Associated Glycoprotein Rescues Motoneurons From 
89,Cellular and Molecular Neurobiology , Victoria Rozés Salvador 2,Myelin-Associated Glycoprotein Rescues Motoneurons From 
90,Cellular and Molecular Neurobiology , Ronald L. Schnaar 3,Myelin-Associated Glycoprotein Rescues Motoneurons From 
91,Cellular and Molecular Neurobiology , Pablo H. H. Lopez 2,Myelin-Associated Glycoprotein Rescues Motoneurons From 
92,Cellular and Molecular Neurobiology , 1  ,Myelin-Associated Glycoprotein Rescues Motoneurons From 
93,Cellular and Molecular Neurobiology  ,Henríquez 1  ,Ablation of p75NTR receptor in vivo induces an altered motor phenotype 
94,Cellular and Molecular Neurobiology  ,neuron disease Cristina Pinto 1,
95,Cellular and Molecular Neurobiology  , Nelson Osses 2,
96,Cellular and Molecular Neurobiology  , Juan Pablo Henríquez 1  ,
97,Cellular and Molecular Neurobiology  ,development by activation of CAMKII Aymara Ruffino 1,
98,Cellular and Molecular Neurobiology  , Edith Ferrari 1,
99,Cellular and Molecular Neurobiology  , Silvana Rosso 1  ,
100,Cellular and Molecular Neurobiology  ,,Is the inflammatory process involved in bone marrow mononuclear cell migration to the injured nerve? 
101,Cellular and Molecular Neurobiology  ,oligodendrocyteneuron interaction via Myelin-Associated Glycoprotein (MAG) Ana Vivinetto 2,
102,Cellular and Molecular Neurobiology  , Anabela Palandri 2,
103,Cellular and Molecular Neurobiology  , Victoria Rozés Salvador 2,
104,Cellular and Molecular Neurobiology  , Florencia Heredia 2,
105,Cellular and Molecular Neurobiology  , Constanza García-Keller 1,
106,Cellular and Molecular Neurobiology  , Pablo H. H. López 2  ,
107,Cellular and Molecular Neurobiology  ,pathways in the expression of cocaine sensitization Emiliano Zamponi1,
108,Cellular and Molecular Neurobiology  , Bethania Mongi Bragato 2,
109,Cellular and Molecular Neurobiology  , Liliana Cancela2 ,
110,Cellular and Molecular Neurobiology  , Daniel Hugo Mascó 1  1 Centro de Biología Celular y Molecular,
111,Cellular and Molecular Neurobiology  , FCEFyN,
112,Cellular and Molecular Neurobiology  , UNC ,
113,Chronobiology ,Esteban J. Beckwith 2,Circadian period is the result of the interaction between the cell 
114,Chronobiology , E. Axel Gorostiza 2,Circadian period is the result of the interaction between the cell 
115,Chronobiology , Agustín Pérez Santángelo 2,Circadian period is the result of the interaction between the cell 
116,Chronobiology , Jimena Berni 2,Circadian period is the result of the interaction between the cell 
117,Chronobiology , Carolina Rezával 2,Circadian period is the result of the interaction between the cell 
118,Chronobiology , Alejandro Nadra 1,Circadian period is the result of the interaction between the cell 
119,Chronobiology , M. Fernanda Ceriani 2  ,Circadian period is the result of the interaction between the cell 
120,Chronobiology  ,,Intrinsic GABAergic system in the Adult Rat Pineal Gland 
121,Chronobiology  ,,TIME AS A REWARD: ROLE OF DOPAMINE AND MELATONIN IN THE CIRCADIAN MODULATION OF INTERVAL TIMING 
122,Chronobiology  ,,Flying circus: diverse effects on physiology of chronic jet-lag 
123,Chronobiology  ,,Post-translational modifications of NeuroD1 in the rat pineal gland: a common element between nervous and endocrine systems. 
124,Chronobiology  ,,FAST NEUROTRANSMISSION IN THE CENTRAL PACEMAKER OF THE DROSOPHILA BRAIN  
125,Chronobiology  ,circuit E. Axel Gorostiza,
126,Chronobiology  , M. Fernanda Ceriani  ,
127,Chronobiology  ,synaptic contacts along the day E. Axel Gorostiza,
128,Chronobiology  , Ana Depetris Chauvin,
129,Chronobiology  , M. Fernanda Ceriani  ,
130,Chronobiology  ,Diego Golombek 1  ,PIGMENT-DISPERSING FACTOR (PDF) AND CIRCADIAN ENTRAINMENT IN C. elegans (What a night Tt!) 
131,Chronobiology  ,system  Malena Lis Mul Fedele,
132,Chronobiology  , José Duhart,
133,Chronobiology  , Diego Golombek,
134,Chronobiology  , Natalia Paladino  ,
135,Chronobiology  ,clock neurons of Drosophila melanogaster Nara I Muraro,
136,Chronobiology  , M Fernanda Ceriani   ,
137,"Cognition, Behavior, and Memory  ",old rats Paula Abate 3,
138,"Cognition, Behavior, and Memory  ", 2,
139,"Cognition, Behavior, and Memory  ", Larisa Guttlein 3,
140,"Cognition, Behavior, and Memory  ", Sebastián Miranda Morales 1,
141,"Cognition, Behavior, and Memory  ", Norman E. Spear 1  1 Center for Developmental and Behavioral Neuroscience,
142,"Cognition, Behavior, and Memory  ", en Binghamton State ,
143,"Cognition, Behavior, and Memory  ",,The role of vision in auditory distance perception 
144,"Cognition, Behavior, and Memory  ",,Neurobehavioral consequences of early mother-pup separations in mother rats  
145,"Cognition, Behavior, and Memory  ",,Interindividual differences in Metacognition ability across many perceptual modalities 
146,"Cognition, Behavior, and Memory ",Julio Alfieri,
147,"Cognition, Behavior, and Memory ", Nilda Dombrovsky,
148,"Cognition, Behavior, and Memory ", Lionel Muller Igaz  ,
149,"Cognition, Behavior, and Memory ",,The persistence of cocaine CPP memories is modulated by dopamine in the dorsal hippocampus 
150,"Cognition, Behavior, and Memory ",Delorenzi 2  ,Pharmacological dissociation of memory expression and reactivation 
151,"Cognition, Behavior, and Memory  ",through a ppar(cid:1) receptor-independent mechanism Eduardo Blanco Calvo  1,
152,"Cognition, Behavior, and Memory  ", 2,
153,"Cognition, Behavior, and Memory  ", 4,
154,"Cognition, Behavior, and Memory  ", Ainhoa Bilbao 3,
155,"Cognition, Behavior, and Memory  ", María Jesús Luque-Rojas 2,
156,"Cognition, Behavior, and Memory  ", Juan Suárez 2,
157,"Cognition, Behavior, and Memory  ", Pablo Galeano 4,
158,"Cognition, Behavior, and Memory  ", Francisco Capani 4,
159,"Cognition, Behavior, and Memory  ", Rainer Spanagel 3,
160,"Cognition, Behavior, and Memory  ", Fernando Rodríguez de Fonseca 2  ,
161,"Cognition, Behavior, and Memory  ",modulation by (cid:1)7 nicotinic acetylcholine Maria del Carmen Krawczyk 2,
162,"Cognition, Behavior, and Memory  ", Mariana Feld 1,
163,"Cognition, Behavior, and Memory  ", Mariano Blake 2,
164,"Cognition, Behavior, and Memory  ", Carlos Baratti 2,
165,"Cognition, Behavior, and Memory  ", Mariano Boccia 2  ,
166,"Cognition, Behavior, and Memory  ",EXPRESSION Silvia Gabriela Bustos,PREVIOUS STRESS PREVENTS FEAR MEMORY 
167,"Cognition, Behavior, and Memory  ", Pablo Javier Espejo,PREVIOUS STRESS PREVENTS FEAR MEMORY 
168,"Cognition, Behavior, and Memory  ", Estela Salde,PREVIOUS STRESS PREVENTS FEAR MEMORY 
169,"Cognition, Behavior, and Memory  ", Marcelo Giachero,PREVIOUS STRESS PREVENTS FEAR MEMORY 
170,"Cognition, Behavior, and Memory  ", Victor Alejandro Molina   ,PREVIOUS STRESS PREVENTS FEAR MEMORY 
171,"Cognition, Behavior, and Memory  ",plasticity through mechanisms dependent on NR2B subunits of the NMDA receptor Florencia Buteler,
172,"Cognition, Behavior, and Memory  ", Marisa Ghersi,
173,"Cognition, Behavior, and Memory  ", Laura Gabach,
174,"Cognition, Behavior, and Memory  ", Mariela Perez,
175,"Cognition, Behavior, and Memory  ", Susana Rubiales de Barioglio   ,
176,"Cognition, Behavior, and Memory  ",Cecilia I. Calero,
177,"Cognition, Behavior, and Memory  ", Mariano Semelman,
178,"Cognition, Behavior, and Memory  ", Ariel Zilberberg,
179,"Cognition, Behavior, and Memory  ", Mariano Sigman  ,
180,"Cognition, Behavior, and Memory  ",Edgar Shalóm  ,The Emergence of Frequency Effect in Natural Reading 
181,"Cognition, Behavior, and Memory  ",,GABA and extinction 
182,"Cognition, Behavior, and Memory  ",,Genetic modulation of dopamine D2 autoreceptor levels in live mice 
183,"Cognition, Behavior, and Memory  ",Eric Casey 2,Molecular and Functional Dissection of the Dopamine D2 
184,"Cognition, Behavior, and Memory  ", Marcelo Rubinstein 2,Molecular and Functional Dissection of the Dopamine D2 
185,"Cognition, Behavior, and Memory  ", 1  ,Molecular and Functional Dissection of the Dopamine D2 
186,"Cognition, Behavior, and Memory  ",predict the sensitivity to the stimulating effect of ethanol Stefanía Castelló 1,
187,"Cognition, Behavior, and Memory  ", Damián Revillo 1,
188,"Cognition, Behavior, and Memory  ", Carlos Arias 1,
189,"Cognition, Behavior, and Memory  ", 2,
190,"Cognition, Behavior, and Memory  ", Juan Carlos Molina 1  ,
191,"Cognition, Behavior, and Memory ",,Strategy to examine molecular mechanisms required for spaced learning in Drosophila  
192,"Cognition, Behavior, and Memory  ",memory interference Lucia Ciccia,
193,"Cognition, Behavior, and Memory  ", Noelia Weisstaub  Experimental Cognition and Behavior Lab. Systems Neuroscience ,
194,"Cognition, Behavior, and Memory  ",Verónica Coccoz 2,
195,"Cognition, Behavior, and Memory  ", Adolfo Villalón Sandoval 3,
196,"Cognition, Behavior, and Memory  ", Jimmy Stehberg 3,
197,"Cognition, Behavior, and Memory  ", 1,
198,"Cognition, Behavior, and Memory  ", Alejandro Delorenzi 2  ,
199,"Cognition, Behavior, and Memory  ",,
200,"Cognition, Behavior, and Memory ",consequences of maternal ethanol intoxication during nursing Marcela Elena Cullere 2,
201,"Cognition, Behavior, and Memory ", Norman Spear 1,
202,"Cognition, Behavior, and Memory ", Juan Carlos Molina 2,
203,"Cognition, Behavior, and Memory ", 1  ,
204,"Cognition, Behavior, and Memory  ",,Chromatic categorization in a memory task 
205,"Cognition, Behavior, and Memory ",,Spatial learning induces increasing of argyrophilic nucleolar organizer region (AgNOR) of pallium medial neurons in toads (Rhinella arenarum)  
206,"Cognition, Behavior, and Memory  ",,Calcineurin as a regulator of memory formation: Mechanisms involved  
207,"Cognition, Behavior, and Memory  ",Noelia Belen Diaz,Role of the mesocortical dopaminergic system in novelty-induced 
208,"Cognition, Behavior, and Memory  ", Juan E. Belforte   ,Role of the mesocortical dopaminergic system in novelty-induced 
209,"Cognition, Behavior, and Memory  ",Ultrasonic Vocalizations  Martin Elias Costa 1,
210,"Cognition, Behavior, and Memory  ", Mariano Sigman 1,
211,"Cognition, Behavior, and Memory  ", Diego Laplagne 2  ,
212,"Cognition, Behavior, and Memory  ",declarative memory Rodrigo Sebastian Fernández,
213,"Cognition, Behavior, and Memory  ", Cecilia Forcato,
214,"Cognition, Behavior, and Memory  ", Maria Eugenia Pedreira   ,
215,"Cognition, Behavior, and Memory  ",Macarena Soledad Fernandez 2,Sensitivity to appetitive and aversive effects of ethanol in infant 
216,"Cognition, Behavior, and Memory  ", Nicolas Sanchez 2,Sensitivity to appetitive and aversive effects of ethanol in infant 
217,"Cognition, Behavior, and Memory  ", Paula Abate 2,Sensitivity to appetitive and aversive effects of ethanol in infant 
218,"Cognition, Behavior, and Memory  ", 1,Sensitivity to appetitive and aversive effects of ethanol in infant 
219,"Cognition, Behavior, and Memory  ", Ricardo Pautassi 2,Sensitivity to appetitive and aversive effects of ethanol in infant 
220,"Cognition, Behavior, and Memory  ", 1  ,Sensitivity to appetitive and aversive effects of ethanol in infant 
221,"Cognition, Behavior, and Memory  ",Freudenthal,Mechanisms of memory labilization 
222,"Cognition, Behavior, and Memory  ", Arturo Romano   ,Mechanisms of memory labilization 
223,"Cognition, Behavior, and Memory ",Romero 2,Mild and severe perinatal asphyxia induce opposite effects on cocaine sensitization in adult rats 
224,"Cognition, Behavior, and Memory ", Mariana Inés Holubiec 2,Mild and severe perinatal asphyxia induce opposite effects on cocaine sensitization in adult rats 
225,"Cognition, Behavior, and Memory ", Gustavo Ezequiel Saraceno 2,Mild and severe perinatal asphyxia induce opposite effects on cocaine sensitization in adult rats 
226,"Cognition, Behavior, and Memory ", María Jesús Luque-Rojas 3,Mild and severe perinatal asphyxia induce opposite effects on cocaine sensitization in adult rats 
227,"Cognition, Behavior, and Memory ", Fernando Rodríguez de Fonseca 3,Mild and severe perinatal asphyxia induce opposite effects on cocaine sensitization in adult rats 
228,"Cognition, Behavior, and Memory ", Francisco Capani 2  ,Mild and severe perinatal asphyxia induce opposite effects on cocaine sensitization in adult rats 
229,"Cognition, Behavior, and Memory  ",Patricia Gonzalez 2,Molecular mechanisms involved in the effect of IL-1(cid:2) on 
230,"Cognition, Behavior, and Memory  ", Ivana Machado 2,Molecular mechanisms involved in the effect of IL-1(cid:2) on 
231,"Cognition, Behavior, and Memory  ", Alejandro Vilcaes 1,Molecular mechanisms involved in the effect of IL-1(cid:2) on 
232,"Cognition, Behavior, and Memory  ", Germán Roth 1,Molecular mechanisms involved in the effect of IL-1(cid:2) on 
233,"Cognition, Behavior, and Memory  ", Mercedes Lasaga 3,Molecular mechanisms involved in the effect of IL-1(cid:2) on 
234,"Cognition, Behavior, and Memory  ", Teresa Scimonelli 2  1 CIQUIBIC-Dpto. Quím. Biol. FCQ,Molecular mechanisms involved in the effect of IL-1(cid:2) on 
235,"Cognition, Behavior, and Memory  ", UNC ,Molecular mechanisms involved in the effect of IL-1(cid:2) on 
236,"Cognition, Behavior, and Memory  ",,Conscious Access and Attentional Blink during Eye Movements 
237,"Cognition, Behavior, and Memory  ",Maria del Carmen Krawczyk,Hippocampal muscarinic acetyolcholine receptors modulate 
238,"Cognition, Behavior, and Memory  ", Mariano Boccia,Hippocampal muscarinic acetyolcholine receptors modulate 
239,"Cognition, Behavior, and Memory  ", Mariano Blake,Hippocampal muscarinic acetyolcholine receptors modulate 
240,"Cognition, Behavior, and Memory  ", Carlos Baratti   ,Hippocampal muscarinic acetyolcholine receptors modulate 
241,"Cognition, Behavior, and Memory  ",1 Kavli Institute for Systems Neuroscience and Centre for the Biology of Memory,Running speed modulation of neural activity in the Hippocampal-Entorhinal loop 
242,"Cognition, Behavior, and Memory  ", NTNU,Running speed modulation of neural activity in the Hippocampal-Entorhinal loop 
243,"Cognition, Behavior, and Memory  ", Trondheim,Running speed modulation of neural activity in the Hippocampal-Entorhinal loop 
244,"Cognition, Behavior, and Memory  ", Norway ,Running speed modulation of neural activity in the Hippocampal-Entorhinal loop 
245,"Cognition, Behavior, and Memory  ",caricatures Sabrina López 2,
246,"Cognition, Behavior, and Memory  ", Pablo Riera 1,
247,"Cognition, Behavior, and Memory  ", Florencia Assaneo 2,
248,"Cognition, Behavior, and Memory  ", Manuel Eguía 1,
249,"Cognition, Behavior, and Memory  ", Marcos Trevisan 2  ,
250,"Cognition, Behavior, and Memory  ",foragers? Mariana Lozada 1,
251,"Cognition, Behavior, and Memory  ", 2,
252,"Cognition, Behavior, and Memory  ", Paola D'Adamo 1,
253,"Cognition, Behavior, and Memory  ", 2  ,
254,"Cognition, Behavior, and Memory  ",Mariana Lozada 1,
255,"Cognition, Behavior, and Memory  ", 2,
256,"Cognition, Behavior, and Memory  ", Paola D'Adamo 1,
257,"Cognition, Behavior, and Memory  ", 2,
258,"Cognition, Behavior, and Memory  ", Natalia Carro 2  ,
259,"Cognition, Behavior, and Memory  ",mediated by a decrease of glutamate release and zif268 expression and (cid:1)-MSH reversed these effects. Ivana Machado 2,
260,"Cognition, Behavior, and Memory  ", Patricia Gonzalez 2,
261,"Cognition, Behavior, and Memory  ", Alejandro Vilcaes 1,
262,"Cognition, Behavior, and Memory  ", Germán Roth 1,
263,"Cognition, Behavior, and Memory  ", Mercedes Lasaga 3,
264,"Cognition, Behavior, and Memory  ", Teresa Scimonelli 2  1 CIQUIBIC-Dpto. Quím. Biol. FCQ,
265,"Cognition, Behavior, and Memory  ", UNC ,
266,"Cognition, Behavior, and Memory  ",synthesis: Implications for memory interference María Cecilia Martinez 3,
267,"Cognition, Behavior, and Memory  ", Nadia Alen 3,
268,"Cognition, Behavior, and Memory  ", Fabricio Ballarini 3,
269,"Cognition, Behavior, and Memory  ", Diego Moncada 3,
270,"Cognition, Behavior, and Memory  ", 2,
271,"Cognition, Behavior, and Memory  ", Haydée Viola 3,
272,"Cognition, Behavior, and Memory  ", 1  ,
273,"Cognition, Behavior, and Memory ",Yanina V. Martos,Research project: role of striatal cholinergic interneurons in the 
274,"Cognition, Behavior, and Memory ", M. Gustavo Murer,Research project: role of striatal cholinergic interneurons in the 
275,"Cognition, Behavior, and Memory ", Juan E. Belforte   ,Research project: role of striatal cholinergic interneurons in the 
276,"Cognition, Behavior, and Memory  ",level lead exposed rats: voluntary intake vs. operant conditioning Mara S. Mattalloni,
277,"Cognition, Behavior, and Memory  ", Laura De Giovanni,
278,"Cognition, Behavior, and Memory  ", Liliana M. Cancela,
279,"Cognition, Behavior, and Memory  ", Miriam B. Virgolini  ,
280,"Cognition, Behavior, and Memory ",,Dissociating long term memory storage from expression: an optophysiology approach in the crab Chasmagnathus. 
281,"Cognition, Behavior, and Memory ",crab Neohelice granulata Julieta Molinas,
282,"Cognition, Behavior, and Memory ", Daniel Tomsic  ,
283,"Cognition, Behavior, and Memory  ",,Neural activation of several areas of the telencephalon in toads (Rhinella arenarum) for a passive avoidance task 
284,"Cognition, Behavior, and Memory  ",Abate 2  ,Ethanol-mediated flavor conditioned preference utilizing a voluntary and intermittent consumption schedule in adolescent rats 
285,"Cognition, Behavior, and Memory  ",Vanesa Ortiz,EFFECTS OF MIDAZOLAM AND PROPRANOLOL ON FEAR 
286,"Cognition, Behavior, and Memory  ",  Victor Alejandro Molina,EFFECTS OF MIDAZOLAM AND PROPRANOLOL ON FEAR 
287,"Cognition, Behavior, and Memory  ", Irene Delia Martijena   ,EFFECTS OF MIDAZOLAM AND PROPRANOLOL ON FEAR 
288,"Cognition, Behavior, and Memory  ",Leonardo R Ruzzi 2,
289,"Cognition, Behavior, and Memory  ", Sergio E Lew 1,
290,"Cognition, Behavior, and Memory  ", Mario Rafael Pagani 2  ,
291,"Cognition, Behavior, and Memory  ",,Game theory and cognitive skills: a study of the ability of backward induction 
292,"Cognition, Behavior, and Memory  ",1 Dto de Investigación de la Fac. de Medicina UCES ,Long-term effects of chronic aerobic exercise on object recognition memory in rats.  
293,"Cognition, Behavior, and Memory  ",Ferrer 2,Reactivation conditions are critical to permanently reduce a fear memory through the  
294,"Cognition, Behavior, and Memory  ", 1  ,Reactivation conditions are critical to permanently reduce a fear memory through the  
295,"Cognition, Behavior, and Memory  ",,Involvement of NMDA receptors in the acquisition of contextual fear memory in preweanling and weanling rats trained in the CPFE paradigm 
296,"Cognition, Behavior, and Memory  ",Restivo 2,Mossy Fiber Synaptogenesis after Spatial Water Maze Overtraining and its Functional Implications for Information Processing in the Hippocampal Network. 
297,"Cognition, Behavior, and Memory  ", Paul Frankland 2  ,Mossy Fiber Synaptogenesis after Spatial Water Maze Overtraining and its Functional Implications for Information Processing in the Hippocampal Network. 
298,"Cognition, Behavior, and Memory  ",,The role of hippocampal adult neurogenesis in information processing 
299,"Cognition, Behavior, and Memory ",Pablo E. Riera,Timbre attributes of saxophone multiphonics: psychophysical 
300,"Cognition, Behavior, and Memory ", Martin Proscia,Timbre attributes of saxophone multiphonics: psychophysical 
301,"Cognition, Behavior, and Memory ", Manuel C. Eguía  ,Timbre attributes of saxophone multiphonics: psychophysical 
302,"Cognition, Behavior, and Memory  ",Cuneo 1,Acute ghrelin administration reverses the memory impairment induced by bilateral olfactory bulbectomy in mice 
