,autor,afiliacion,titulo,tema,primer_autor
2,Julia Rubione," Instituto de Investigaciones en Medicina Traslacional (IIMT), Universidad Austral-CONICET, Buenos Aires, Argentina.",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
3,Pablo Tate," Instituto de Investigaciones en Medicina Traslacional (IIMT), Universidad Austral-CONICET, Buenos Aires, Argentina.",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
4,Marcelo J Villar," Instituto de Investigaciones en Medicina Traslacional (IIMT), Universidad Austral-CONICET, Buenos Aires, Argentina.",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
5,Alejandro Montaner," Instituto de Ciencia y Tecnología ""Dr. César Milstein"", CONICET, Fundación Pablo Cassará, Buenos Aires, Argentina.",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
6,Veronica Bisagno," Instituto de Investigaciones Farmacológicas – CONICET, Buenos Aires, Argentina",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
7,Luis Constandil," Departamento de Biología, Laboratorio de Neurobiología, Facultad de Química y Biología, Universidad de Santiago de Chile, Santiago, Chile.",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
0,Yamila Molinari," UBA Facultad de Farmacia y Bioquímica, Departamento de Química Biológica - IQUIFIB CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
1,Matías Pibuel," UBA Facultad de Farmacia y Bioquímica, Departamento de Inmunología - IDEHU CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
2,Agustín Byrne," UBA Facultad de Farmacia y Bioquímica, Departamento de Química Biológica - IQUIFIB CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
3,Daniela Poodts," UBA Facultad de Farmacia y Bioquímica, Departamento de Inmunología - IDEHU CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
4,Mariangeles Díaz," UBA Facultad de Farmacia y Bioquímica, Departamento de Inmunología - IDEHU CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
5,Silvina Lompardía," UBA Facultad de Farmacia y Bioquímica, Departamento de Inmunología - IDEHU CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
6,Lucas Silvestroff," UBA Facultad de Farmacia y Bioquímica, Departamento de Química Biológica - IQUIFIB CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
7,Paula Franco," UBA Facultad de Farmacia y Bioquímica, Departamento de Química Biológica - IQUIFIB CONICET",Neurosphere approach to understand CNS regeneration,Cellular and Molecular Neurobiology,
0,Marianela Sanchez, IFEC - CONICET Depto. Farmacologia Facultad Cs. Quimicas -UNC,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
1,Paula Avalos, IFEC - CONICET Depto. Farmacologia Facultad Cs. Quimicas -UNC,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
2,Daiana Rigoni, IFEC - CONICET Depto. Farmacologia Facultad Cs. Quimicas -UNC,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
3,Andrea Guzman, IFEC - CONICET Depto. Farmacologia Facultad Cs. Quimicas -UNC,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
4,Julieta Boezio, IFEC - CONICET Depto. Farmacologia Facultad Cs. Quimicas -UNC,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
5,Bethania Mongi, IFEC - CONICET Depto. Farmacologia Facultad Cs. Quimicas -UNC,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
6,Bisbal Mariano, Instituto Ferreyra,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
7,Bollati Flavia, IFEC - CONICET Depto. Farmacologia Facultad Cs. Quimicas -UNC,NF-kB as key contributor of the comorbidity between chronic restraint stress and cocaine self-administration,Cellular and Molecular Neurobiology,
0,Gaby Fabiana Martínez," Laboratorio de Biología Celular, Departamento de Neurofarmacología Experimental. Instituto de Investigaciones Biológicas Clemente Estable (IIBCE). Avenida Italia ",Stiffness of collagen type I inhibits axon growth of sympathetic neurons: a 3D culture model to study mechanical signals,Cellular and Molecular Neurobiology,
1,Jimena Fagetti," Laboratorio de Biología Celular, Departamento de Neurofarmacología Experimental. Instituto de Investigaciones Biológicas Clemente Estable (IIBCE). Avenida Italia ",Stiffness of collagen type I inhibits axon growth of sympathetic neurons: a 3D culture model to study mechanical signals,Cellular and Molecular Neurobiology,
2,Gabriela Vierci," Laboratorio de Biología Celular, Departamento de Neurofarmacología Experimental. Instituto de Investigaciones Biológicas Clemente Estable (IIBCE). Avenida Italia ",Stiffness of collagen type I inhibits axon growth of sympathetic neurons: a 3D culture model to study mechanical signals,Cellular and Molecular Neurobiology,
3,Mónica Brauer," Laboratorio de Biología Celular, Departamento de Neurofarmacología Experimental. Instituto de Investigaciones Biológicas Clemente Estable (IIBCE). Avenida Italia ",Stiffness of collagen type I inhibits axon growth of sympathetic neurons: a 3D culture model to study mechanical signals,Cellular and Molecular Neurobiology,
4,Nicolás Unsain," Laboratorio de Neurobiología, Instituto de Investigación Médica Mercedes y Martín Ferreyra, INIMEC-Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad Nacional de Córdoba (UNC), Friuli ",Stiffness of collagen type I inhibits axon growth of sympathetic neurons: a 3D culture model to study mechanical signals,Cellular and Molecular Neurobiology,
5,Analía Richeri," Laboratorio de Biología Celular, Departamento de Neurofarmacología Experimental. Instituto de Investigaciones Biológicas Clemente Estable (IIBCE). Avenida Italia ",Stiffness of collagen type I inhibits axon growth of sympathetic neurons: a 3D culture model to study mechanical signals,Cellular and Molecular Neurobiology,
0,Laura Ivonne Gómez Pinto," Departamento de Química Biológica, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, IQUIFIB-CONICET, Argentina.",TGFβ in the remyelination process,Cellular and Molecular Neurobiology,
1,Debora Rodriguez," Departamento de Química Biológica, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, IQUIFIB-CONICET, Argentina.",TGFβ in the remyelination process,Cellular and Molecular Neurobiology,
2,Ana Adamo," Departamento de Química Biológica, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, IQUIFIB-CONICET, Argentina.",TGFβ in the remyelination process,Cellular and Molecular Neurobiology,
3,Patricia Mathieu," Departamento de Química Biológica, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, IQUIFIB-CONICET, Argentina.",TGFβ in the remyelination process,Cellular and Molecular Neurobiology,
0,Paula Virginia Subirada," Instituto Ferreyra, INIMEC-CONICET-UNC.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
1,Maria Victoria Vaglienti," Departamento de Bioquímica Clínica, CIBICI-CONICET, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
2,Agustín Fierro," Centro Privado de Ojos Romagosa. Fundación VER. Córdoba, Argentina.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
3,Alejandra Jurado," Centro Privado de Ojos Romagosa. Fundación VER. Córdoba, Argentina.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
4,O’Brien Paula," Centro Privado de Ojos Romagosa. Fundación VER. Córdoba, Argentina.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
5,José Luna Pinto," Centro Privado de Ojos Romagosa. Fundación VER. Córdoba, Argentina.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
6,Maria Cecilia Sánchez," Departamento de Bioquímica Clínica, CIBICI-CONICET, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
7,Agustín Anastasía," Instituto Ferreyra, INIMEC-CONICET-UNC.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
8,Pablo Federico Barcelona," Departamento de Bioquímica Clínica, CIBICI-CONICET, Facultad de Ciencias Químicas, Universidad Nacional de Córdoba.",The neurotrophin receptor p75NTR is involved in choroidal neovascularization,Cellular and Molecular Neurobiology,
0,Sofia Gallino," INGEBI, CONICET",Unraveling the structural determinants responsible for calcium potentiation of the α9α10 nicotinic cholinergic receptor.,Cellular and Molecular Neurobiology,
1,Paola Plazas," Instituto de Farmacología, Fac Medicina, UBA",Unraveling the structural determinants responsible for calcium potentiation of the α9α10 nicotinic cholinergic receptor.,Cellular and Molecular Neurobiology,
2,Juan Boffi," INGEBI, CONICET",Unraveling the structural determinants responsible for calcium potentiation of the α9α10 nicotinic cholinergic receptor.,Cellular and Molecular Neurobiology,
3,Ana Belen Elgoyhen," INGEBI, CONICET",Unraveling the structural determinants responsible for calcium potentiation of the α9α10 nicotinic cholinergic receptor.,Cellular and Molecular Neurobiology,
0,Gabriela Inés Aparicio, Instituto de Investigaciones Biotecnológicas - Universidad Nacional de San Martín  (IIBio-UNSAM-CONICET),Unveiling neuronal glycoprotein M6a partners by high throughput quantitative mass spectrometry,Cellular and Molecular Neurobiology,
1,Karina Formoso," Instituto de Investigaciones Biomédicas (BIOMED), Facultad de Ciencias Médicas, Pontificia Universidad Católica Argentina (UCA), CONICET",Unveiling neuronal glycoprotein M6a partners by high throughput quantitative mass spectrometry,Cellular and Molecular Neurobiology,
2,Antonella León, Instituto de Investigaciones Biotecnológicas - Universidad Nacional de San Martín  (IIBio-UNSAM-CONICET),Unveiling neuronal glycoprotein M6a partners by high throughput quantitative mass spectrometry,Cellular and Molecular Neurobiology,
3,Alberto C. Frasch," Vicerrectorado, Edificio de Gobierno, Universidad Nacional de San Martín (UNSAM)",Unveiling neuronal glycoprotein M6a partners by high throughput quantitative mass spectrometry,Cellular and Molecular Neurobiology,
4,Camila Scorticati, Instituto de Investigaciones Biotecnológicas - Universidad Nacional de San Martín  (IIBio-UNSAM-CONICET),Unveiling neuronal glycoprotein M6a partners by high throughput quantitative mass spectrometry,Cellular and Molecular Neurobiology,
0,Ornella Turani, Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB) - UNS,A new antagonist of Caenorhabditis elegans glutamate-activated chloride channels with anthelmintic activity,Cellular and Molecular Neurobiology,
1,María Julia Castro, Instituto de Química del Sur (INQUISUR) - UNS,A new antagonist of Caenorhabditis elegans glutamate-activated chloride channels with anthelmintic activity,Cellular and Molecular Neurobiology,
2,María Belén Faraoni, Instituto de Química del Sur (INQUISUR) - UNS,A new antagonist of Caenorhabditis elegans glutamate-activated chloride channels with anthelmintic activity,Cellular and Molecular Neurobiology,
3,Darío Gerbino, Instituto de Química del Sur (INQUISUR) - UNS,A new antagonist of Caenorhabditis elegans glutamate-activated chloride channels with anthelmintic activity,Cellular and Molecular Neurobiology,
4,Cecilia Bouzat, Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB) - UNS,A new antagonist of Caenorhabditis elegans glutamate-activated chloride channels with anthelmintic activity,Cellular and Molecular Neurobiology,
0,Camila Sosa, Instituto de Investigación Médica Mercedes y Martín Ferreyra,Histone deacetylase gene expression is regulated by sex chromosome complement in the amygdala of the developing mouse brain,Cellular and Molecular Neurobiology,
1,Carla D Cisternas,"[' Instituto de Investigación Médica Mercedes y Martín Ferreyra', ' Cátedra de Biología Celular, Facultad de Odontología, Universidad Nacional de Córdoba, Córdoba, Argentina.', ' Cátedra de Fisiología Animal, Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de Córdoba,  Argentina.']",Histone deacetylase gene expression is regulated by sex chromosome complement in the amygdala of the developing mouse brain,Cellular and Molecular Neurobiology,
2,Romina Conti," Cátedra de Biología Celular, Facultad de Odontología, Universidad Nacional de Córdoba, Córdoba, Argentina.",Histone deacetylase gene expression is regulated by sex chromosome complement in the amygdala of the developing mouse brain,Cellular and Molecular Neurobiology,
3,María Julia Cambiasso,"[' Instituto de Investigación Médica Mercedes y Martín Ferreyra', ' Cátedra de Biología Celular, Facultad de Odontología, Universidad Nacional de Córdoba, Córdoba, Argentina.']",Histone deacetylase gene expression is regulated by sex chromosome complement in the amygdala of the developing mouse brain,Cellular and Molecular Neurobiology,
0,Albano Mazzarini Dimarco,"[' Instituto de Investigaciones Bioquímicas de Bahía Blanca - INIBIBB', ' Departamento de Biología, Bioquímica y Farmacia, Universidad Nacional del Sur']",HUMAN 5-HT3 RECEPTORS: STRUCTURAL AND FUNCTIONAL FEATURES.,Cellular and Molecular Neurobiology,
1,Cecilia Bouzat,"[' Instituto de Investigaciones Bioquímicas de Bahía Blanca - INIBIBB', ' Departamento de Biología, Bioquímica y Farmacia, Universidad Nacional del Sur']",HUMAN 5-HT3 RECEPTORS: STRUCTURAL AND FUNCTIONAL FEATURES.,Cellular and Molecular Neurobiology,
2,Jeremías Corradi,"[' Instituto de Investigaciones Bioquímicas de Bahía Blanca - INIBIBB', ' Departamento de Biología, Bioquímica y Farmacia, Universidad Nacional del Sur']",HUMAN 5-HT3 RECEPTORS: STRUCTURAL AND FUNCTIONAL FEATURES.,Cellular and Molecular Neurobiology,
0,Sebastian Luna," LATOEX, FBioyF, UNR, CONICET",Long term Glyphosate exposure impairs synaptic development and cognitive functions in juvenile rats,Cellular and Molecular Neurobiology,
1,Silvana Rosso," LATOEX, FBioyF, UNR, CONICET",Long term Glyphosate exposure impairs synaptic development and cognitive functions in juvenile rats,Cellular and Molecular Neurobiology,
0,Melisa A. Conde, INIBIBB-DBByF-UNS,Maneb and α-synuclein: friends or foes in neuronal toxicity?,Cellular and Molecular Neurobiology,
1,Melania Funk, INIBIBB,Maneb and α-synuclein: friends or foes in neuronal toxicity?,Cellular and Molecular Neurobiology,
2,Natalia P. Alza, INIBIBB-DBByF-UNS,Maneb and α-synuclein: friends or foes in neuronal toxicity?,Cellular and Molecular Neurobiology,
3,Romina M. Uranga, INIBIBB-DBByF-UNS,Maneb and α-synuclein: friends or foes in neuronal toxicity?,Cellular and Molecular Neurobiology,
4,Gabriela A. Salvador, INIBIBB-DBByF-UNS,Maneb and α-synuclein: friends or foes in neuronal toxicity?,Cellular and Molecular Neurobiology,
0,Ayelen I. Groisman," Laboratorio de Plasticidad Neuronal, Fundación Instituto Leloir Av. Patricias Argentinas ",Molecular mechanisms governing the maturation of GABAergic inputs onto newborn granule cells in the adult hippocampus,Cellular and Molecular Neurobiology,
1,Andrea A. Aguilar," Laboratorio de Plasticidad Neuronal, Fundación Instituto Leloir Av. Patricias Argentinas ",Molecular mechanisms governing the maturation of GABAergic inputs onto newborn granule cells in the adult hippocampus,Cellular and Molecular Neurobiology,
2,Alejandro F. Schinder," Laboratorio de Plasticidad Neuronal, Fundación Instituto Leloir Av. Patricias Argentinas ",Molecular mechanisms governing the maturation of GABAergic inputs onto newborn granule cells in the adult hippocampus,Cellular and Molecular Neurobiology,
3,Damiana P. Giacomini," Laboratorio de Plasticidad Neuronal, Fundación Instituto Leloir Av. Patricias Argentinas ",Molecular mechanisms governing the maturation of GABAergic inputs onto newborn granule cells in the adult hippocampus,Cellular and Molecular Neurobiology,
0,María Victoria Vaglienti," Departamento de Bioquímica Clínica- CIBICI-CONICET- FCQ, UNC.",NO2-OA prevents neovascularization and induces vascular regrowth in Oxygen-Induced Retinopathy,Cellular and Molecular Neurobiology,
1,Paula Virginia Subirada," Departamento de Bioquímica Clínica- CIBICI-CONICET- FCQ, UNC.",NO2-OA prevents neovascularization and induces vascular regrowth in Oxygen-Induced Retinopathy,Cellular and Molecular Neurobiology,
2,María Belen Joray, IRNASUS-CONICET-UCC,NO2-OA prevents neovascularization and induces vascular regrowth in Oxygen-Induced Retinopathy,Cellular and Molecular Neurobiology,
3,María Constanza Paz," Departamento de Bioquímica Clínica- CIBICI-CONICET- FCQ, UNC.",NO2-OA prevents neovascularization and induces vascular regrowth in Oxygen-Induced Retinopathy,Cellular and Molecular Neurobiology,
4,Pablo Federico Barcelona," Departamento de Bioquímica Clínica- CIBICI-CONICET- FCQ, UNC.",NO2-OA prevents neovascularization and induces vascular regrowth in Oxygen-Induced Retinopathy,Cellular and Molecular Neurobiology,
5,Gustavo Bonacci," Departamento de Bioquímica Clínica- CIBICI-CONICET- FCQ, UNC.",NO2-OA prevents neovascularization and induces vascular regrowth in Oxygen-Induced Retinopathy,Cellular and Molecular Neurobiology,
6,María Cecilia Sánchez," Departamento de Bioquímica Clínica- CIBICI-CONICET- FCQ, UNC.",NO2-OA prevents neovascularization and induces vascular regrowth in Oxygen-Induced Retinopathy,Cellular and Molecular Neurobiology,
0,Agustín Jesús Byrne," Universidad de Buenos Aires. Facultad de Farmacia y Bioquímica. Departamento de Química Biológica. Cátedra de Química Biológica Patológica. Instituto de Química y Fisicoquímica Biológicas (IQUIFIB) (UBA-CONICET). Buenos Aires, Argentina.",Optimization of linear polyethylenimine/DNA polyplexes transfection into murine neurosphere cultures.,Cellular and Molecular Neurobiology,
1,Yamila Azul Molinari," Universidad de Buenos Aires. Facultad de Farmacia y Bioquímica. Departamento de Química Biológica. Cátedra de Química Biológica Patológica. Instituto de Química y Fisicoquímica Biológicas (IQUIFIB) (UBA-CONICET). Buenos Aires, Argentina.",Optimization of linear polyethylenimine/DNA polyplexes transfection into murine neurosphere cultures.,Cellular and Molecular Neurobiology,
2,Juan Manuel Lázaro Martínez, Universidad de Buenos Aires. Facultad de Farmacia y Bioquímica. Departamento de Química Orgánica. Cátedra de Química Orgánica ,Optimization of linear polyethylenimine/DNA polyplexes transfection into murine neurosphere cultures.,Cellular and Molecular Neurobiology,
3,Paula Gabriela Franco," Universidad de Buenos Aires. Facultad de Farmacia y Bioquímica. Departamento de Química Biológica. Cátedra de Química Biológica Patológica. Instituto de Química y Fisicoquímica Biológicas (IQUIFIB) (UBA-CONICET). Buenos Aires, Argentina.",Optimization of linear polyethylenimine/DNA polyplexes transfection into murine neurosphere cultures.,Cellular and Molecular Neurobiology,
0,Joana Antonela Asensio," IHEM-CONICET, Mendoza, Argentina",Signs of vascular alteration and inflammation in different brain areas of SHR pups,Cellular and Molecular Neurobiology,
1,Rodrigo Damián García," IMBECU-CONICET, Mendoza, Argentina",Signs of vascular alteration and inflammation in different brain areas of SHR pups,Cellular and Molecular Neurobiology,
2,Alicia Mabel Seltzer," IHEM-CONICET, Mendoza, Argentina",Signs of vascular alteration and inflammation in different brain areas of SHR pups,Cellular and Molecular Neurobiology,
0,Nahir G. Gazal," Instituto  de Investigación Médica Mercedes y Martín Ferreyra (INIMEC), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad Nacional de Córdoba, Córdoba, Argentina.",STUDYING THE IN SITU ORGANIZATION OF THE SPECTRIN CORTICAL SKELETON OF AXONS AND DENDRITES IN DROSOPHILA MELANOGASTER,Cellular and Molecular Neurobiology,
1,E. Axel Gorostiza," Instituto de Fisiología, Biología Molecular y Neurociencias (IFIBYNE) CONICET - Universidad de Buenos Aires, Buenos Aires, Argentina.",STUDYING THE IN SITU ORGANIZATION OF THE SPECTRIN CORTICAL SKELETON OF AXONS AND DENDRITES IN DROSOPHILA MELANOGASTER,Cellular and Molecular Neurobiology,
